game_id,date,home_team,away_team,home_score,away_score,winner,site_location,home_away_neutral,is_conference_game,season,source_url
2025-10-21_hawaii_chaminade,2025-10-21,Hawaii,Chaminade,90,33,Hawaii,"Honolulu, O‘ahu",home,False,2025-26,https://hawaiiathletics.com/sports/womens-basketball/stats/2025-2026/chaminade-exhibition-/boxscore/31049
2025-10-28_hawaii_hawaii_pacific,2025-10-28,Hawaii,Hawaii Pacific,74,34,Hawaii,"Honolulu, O‘ahu",home,False,2025-26,https://hawaiiathletics.com/sports/womens-basketball/stats/2025-2026/hawaii-pacific-exhibition-/boxscore/31050
2025-10-30_cal_poly_simpson_ca,2025-10-30,Cal Poly,Simpson (CA),107,42,Cal Poly,"San Luis Obispo, Calif.",home,False,2025-26,https://gopoly.com/sports/womens-basketball/stats/2025-26/simpson-university-calif-/boxscore/9269
2025-11-01_long_beach_st_point_loma,2025-11-01,Long Beach St.,Point Loma,71,74,Point Loma,"Long Beach, Calif.",home,False,2025-26,https://longbeachstate.com/sports/womens-basketball/stats/2025-26/point-loma/boxscore/9810
2025-11-03_uc_davis_jessup,2025-11-03,UC Davis,Jessup,72,35,UC Davis,"Davis, Calif.",home,False,2025-26,https://ucdavisaggies.com/sports/womens-basketball/stats/2025-26/jessup/boxscore/28637
2025-11-03_pacific_uc_san_diego,2025-11-03,Pacific,UC San Diego,69,66,Pacific,"Stockton, Calif.",away,False,2025-26,https://ucsdtritons.com/sports/womens-basketball/stats/2025-26/pacific/boxscore/11718
2025-11-03_uc_santa_barbara_cal_st_monterey_bay,2025-11-03,UC Santa Barbara,Cal St. Monterey Bay,80,44,UC Santa Barbara,"Santa Barbara, Calif.",home,False,2025-26,https://ucsbgauchos.com/sports/womens-basketball/stats/2025-26/cal-state-monterey-bay/boxscore/12281
2025-11-03_cal_poly_uc_santa_cruz,2025-11-03,Cal Poly,UC Santa Cruz,87,27,Cal Poly,"San Luis Obispo, Calif.",home,False,2025-26,https://gopoly.com/sports/womens-basketball/stats/2025-26/uc-santa-cruz/boxscore/9270
2025-11-03_csu_bakersfield_utah_valley,2025-11-03,CSU Bakersfield,Utah Valley,42,66,Utah Valley,"Bakersfield, CA",home,False,2025-26,https://gorunners.com/sports/womens-basketball/stats/2025-26/utah-valley/boxscore/10937
2025-11-03_california_baptist_uc_riverside,2025-11-03,California Baptist,UC Riverside,56,53,California Baptist,"Riverside, CA",away,False,2025-26,https://gohighlanders.com/sports/womens-basketball/stats/2025-26/cbu/boxscore/14950
2025-11-04_hawaii_portland_st,2025-11-04,Hawaii,Portland St.,74,63,Hawaii,"Honolulu, O‘ahu",home,False,2025-26,https://hawaiiathletics.com/sports/womens-basketball/stats/2025-2026/portland-state/boxscore/30848
2025-11-04_csun_bethesda_ca,2025-11-04,CSUN,Bethesda (CA),103,13,CSUN,"Northridge, Calif",home,False,2025-26,https://gomatadors.com/sports/womens-basketball/stats/2025-26/bethesda/boxscore/17062
2025-11-04_cal_st_fullerton_pepperdine,2025-11-04,Cal St. Fullerton,Pepperdine,70,84,Pepperdine,"Fullerton, Calif.",home,False,2025-26,https://fullertontitans.com/sports/womens-basketball/stats/2025-26/pepperdine/boxscore/7543
2025-11-05_uc_irvine_san_diego,2025-11-05,UC Irvine,San Diego,72,54,UC Irvine,"Irvine, Calif.",home,False,2025-26,https://ucirvinesports.com/sports/womens-basketball/stats/2025-26/san-diego/boxscore/13918
2025-11-06_ucla_uc_santa_barbara,2025-11-06,UCLA,UC Santa Barbara,87,50,UCLA,"Los Angeles, Calif.",away,False,2025-26,https://ucsbgauchos.com/sports/womens-basketball/stats/2025-26/ucla/boxscore/12282
2025-11-06_arizona_uc_riverside,2025-11-06,Arizona,UC Riverside,62,59,Arizona,"Tucson, AZ",away,False,2025-26,https://gohighlanders.com/sports/womens-basketball/stats/2025-26/arizona/boxscore/14951
2025-11-07_uc_davis_idaho,2025-11-07,UC Davis,Idaho,89,76,UC Davis,"Davis, Calif.",home,False,2025-26,https://ucdavisaggies.com/sports/womens-basketball/stats/2025-26/idaho/boxscore/28638
2025-11-07_uc_san_diego_denver,2025-11-07,UC San Diego,Denver,72,54,UC San Diego,"La Jolla, Calif.",home,False,2025-26,https://ucsdtritons.com/sports/womens-basketball/stats/2025-26/denver/boxscore/11719
2025-11-07_wyoming_long_beach_st,2025-11-07,Wyoming,Long Beach St.,72,39,Wyoming,"Laramie, Wyo.",away,False,2025-26,https://longbeachstate.com/sports/womens-basketball/stats/2025-26/wyoming/boxscore/9811
2025-11-07_csu_bakersfield_fresno_st,2025-11-07,CSU Bakersfield,Fresno St.,51,74,Fresno St.,"Bakersfield, CA",home,False,2025-26,https://gorunners.com/sports/womens-basketball/stats/2025-26/fresno-state/boxscore/10938
2025-11-08_csun_san_diego,2025-11-08,CSUN,San Diego,63,48,CSUN,"Northridge, Calif",home,False,2025-26,https://gomatadors.com/sports/womens-basketball/stats/2025-26/san-diego/boxscore/17063
2025-11-09_arizona_uc_irvine,2025-11-09,Arizona,UC Irvine,75,61,Arizona,"Tucson, Ariz.",away,False,2025-26,https://ucirvinesports.com/sports/womens-basketball/stats/2025-26/arizona/boxscore/13919
2025-11-09_seattle_u_uc_santa_barbara,2025-11-09,Seattle U,UC Santa Barbara,49,89,UC Santa Barbara,"Seattle, Wash.",away,False,2025-26,https://ucsbgauchos.com/sports/womens-basketball/stats/2025-26/seattle-university/boxscore/12283
2025-11-09_stanford_cal_poly,2025-11-09,Stanford,Cal Poly,90,55,Stanford,"Stanford, CA",away,False,2025-26,https://gopoly.com/sports/womens-basketball/stats/2025-26/stanford-university/boxscore/9271
2025-11-09_colorado_st_long_beach_st,2025-11-09,Colorado St.,Long Beach St.,73,34,Colorado St.,"Fort Collins, Colo.",away,False,2025-26,https://longbeachstate.com/sports/womens-basketball/stats/2025-26/colorado-state/boxscore/9812
