game_id,team,q1_fg,q1_3p,q1_ft,q2_fg,q2_3p,q2_ft,q3_fg,q3_3p,q3_ft,q4_fg,q4_3p,q4_ft,ot1_fg,ot1_3p,ot1_ft,ot2_fg,ot2_3p,ot2_ft,ot3_fg,ot3_3p,ot3_ft,total_fg,total_3p,total_ft,technical_fouls,second_chance_pts,scores_tied,pts_in_paint,fast_break_pts,lead_changes,pts_off_turnovers,bench_pts
2025-11-05_uc_irvine_san_diego,San Diego,4-14,2-5,0-0,7-20,2-8,1-2,6-13,3-6,3-4,2-12,0-4,5-9,,,,,,,,,,19-59,7-23,9-15,0,12,1,20,9,0,20,13
2025-11-05_uc_irvine_san_diego,UC Irvine,8-20,4-8,1-2,2-8,1-6,6-8,7-10,3-4,11-11,3-11,1-5,5-7,,,,,,,,,,20-49,9-23,23-28,0,7,1,18,4,0,13,20
2025-11-06_ucla_uc_santa_barbara,UC Santa Barbara,6-14,1-5,4-4,4-14,1-8,0-0,8-15,1-5,0-1,3-15,1-9,0-0,,,,,,,,,,21-58,4-27,4-5,0,6,1,30,2,0,10,20
2025-11-06_ucla_uc_santa_barbara,UCLA,9-16,2-6,1-1,9-16,3-8,9-9,8-12,3-6,4-4,4-17,2-10,3-4,,,,,,,,,,30-61,10-30,17-18,0,13,1,34,18,0,24,6
2025-11-06_arizona_uc_riverside,UC Riverside,5-9,2-4,0-0,4-13,2-7,3-4,6-13,1-5,1-2,7-15,3-7,3-4,,,,,,,,,,22-50,8-23,7-10,0,8,9,26,4,6,11,20
2025-11-06_arizona_uc_riverside,Arizona,5-15,0-2,4-5,3-12,1-5,2-2,9-15,4-7,1-2,6-8,0-1,4-7,,,,,,,,,,23-50,5-15,11-16,0,4,9,32,2,6,18,27
2025-11-07_uc_davis_idaho,Idaho,8-21,1-5,2-2,5-20,2-8,1-2,12-21,3-6,4-6,4-19,1-5,4-8,,,,,,,,,,29-81,7-24,11-18,0,22,7,40,14,5,14,25
2025-11-07_uc_davis_idaho,UC Davis,7-17,4-10,0-0,7-22,4-9,3-3,9-14,3-4,5-6,8-13,3-7,5-8,,,,,,,,,,31-66,14-30,13-17,0,6,7,30,18,5,25,6
2025-11-07_uc_san_diego_denver,Denver,3-15,1-4,2-6,4-13,2-7,6-10,5-10,1-4,5-11,4-15,0-6,5-6,,,,,,,,,,16-53,4-21,18-33,0,9,6,14,6,6,7,20
2025-11-07_uc_san_diego_denver,UC San Diego,5-20,2-8,0-0,7-18,2-8,0-0,9-15,3-6,10-11,6-13,0-2,1-2,,,,,,,,,,27-66,7-24,11-13,0,11,6,38,17,6,20,24
2025-11-07_wyoming_long_beach_st,Long Beach St.,2-14,0-5,0-0,5-10,2-2,3-4,4-17,1-10,0-2,4-14,1-5,2-2,,,,,,,,,,15-55,4-22,5-8,0,6,0,20,2,0,10,4
2025-11-07_wyoming_long_beach_st,Wyoming,10-18,3-6,0-1,6-14,2-7,1-2,8-13,1-5,1-2,5-8,3-3,3-4,,,,,,,,,,29-53,9-21,5-9,0,8,0,36,5,0,18,15
2025-11-07_csu_bakersfield_fresno_st,Fresno St.,7-19,1-2,3-8,10-16,0-1,1-2,9-14,0-0,2-4,7-15,1-4,0-0,,,,,,,,,,33-64,2-7,6-14,0,13,2,42,6,1,15,21
2025-11-07_csu_bakersfield_fresno_st,CSU Bakersfield,4-12,0-2,3-9,8-13,0-0,1-3,5-12,0-2,4-4,4-10,0-2,1-1,,,,,,,,,,21-47,0-6,9-17,0,4,2,40,13,1,9,9
2025-11-08_csun_san_diego,San Diego,7-16,1-3,2-2,5-9,1-2,3-6,3-18,0-7,2-4,2-13,1-4,4-9,,,,,,,,,,17-56,3-16,11-21,0,10,2,18,5,3,17,10
2025-11-08_csun_san_diego,CSUN,8-18,3-6,1-1,5-16,2-6,3-3,6-17,2-6,2-2,4-13,2-7,2-3,,,,,,,,,,23-64,9-25,8-9,1,22,2,28,13,3,13,26
2025-11-09_arizona_uc_irvine,UC Irvine,4-12,1-6,6-6,6-12,3-6,2-4,2-10,0-4,9-14,5-11,0-1,6-9,,,,,,,,,,17-45,4-17,23-33,0,9,3,18,6,3,11,11
2025-11-09_arizona_uc_irvine,Arizona,2-13,0-7,6-7,9-21,4-8,9-9,8-17,1-4,2-3,5-10,1-6,4-5,,,,,,,,,,24-61,6-25,21-24,0,11,3,28,12,3,13,13
2025-11-09_seattle_u_uc_santa_barbara,UC Santa Barbara,10-16,4-9,1-2,10-20,5-10,0-1,7-17,1-4,1-2,8-14,3-6,4-5,,,,,,,,,,35-67,13-29,6-10,0,7,0,40,11,4,26,28
2025-11-09_seattle_u_uc_santa_barbara,Seattle U,4-15,2-5,0-0,2-15,2-8,3-3,6-11,0-3,1-3,6-16,0-5,5-5,,,,,,,,,,18-57,4-21,9-11,0,6,0,26,0,4,6,10
2025-11-09_stanford_cal_poly,Cal Poly,5-13,1-3,2-2,3-13,0-1,2-2,7-16,2-2,4-4,6-12,0-2,2-2,,,,,,,,,,21-54,3-8,10-10,0,5,1,24,10,0,6,8
2025-11-09_stanford_cal_poly,Stanford,13-20,1-3,1-1,7-15,2-7,8-8,7-16,1-5,6-7,6-14,3-7,2-4,,,,,,,,,,33-65,7-22,17-20,0,13,1,42,17,0,25,30
2025-11-09_colorado_st_long_beach_st,Long Beach St.,2-11,0-3,0-0,2-14,0-8,1-2,4-13,3-5,3-4,4-14,3-7,0-2,,,,,,,,,,12-52,6-23,4-8,0,1,0,2,7,0,8,4
2025-11-09_colorado_st_long_beach_st,Colorado St.,9-16,3-8,3-4,4-19,1-12,2-2,10-21,1-9,2-3,5-16,1-5,4-4,,,,,,,,,,28-72,6-34,11-13,0,14,0,38,6,0,26,26
