game_id,team,jersey,player,started,min,fg_m,fg_a,fg_pct,3p_m,3p_a,3p_pct,ft_m,ft_a,ft_pct,oreb,dreb,reb,pf,ast,to,blk,stl,pts
2023-11-01_hawaii_hawaii_hilo,Hawaii Hilo,21,"Sua-Godinet, Noelle",True,25,4,8,0.5,1,1,1.0,0,0,,0,4,4,1,2,1,0,1,9
2023-11-01_hawaii_hawaii_hilo,Hawaii Hilo,03,"Cruz, Kaile",True,27,2,12,0.167,1,6,0.167,2,3,0.667,3,1,4,2,0,3,0,0,7
2023-11-01_hawaii_hawaii_hilo,Hawaii Hilo,04,"Hiu, Melanie",True,23,2,5,0.4,1,3,0.333,0,0,,0,2,2,2,2,1,0,0,5
2023-11-01_hawaii_hawaii_hilo,Hawaii Hilo,02,"Kamakawiwoole, Kamalu",True,26,1,6,0.167,0,1,0.0,0,0,,0,6,6,2,2,2,0,2,2
2023-11-01_hawaii_hawaii_hilo,Hawaii Hilo,10,"Agonias, Keirstyn",True,24,0,4,0.0,0,2,0.0,1,2,0.5,2,2,4,1,0,3,0,0,1
2023-11-01_hawaii_hawaii_hilo,Hawaii Hilo,05,"Harmon, Jeniece",False,23,1,5,0.2,1,1,1.0,2,2,1.0,0,2,2,0,0,4,0,1,5
2023-11-01_hawaii_hawaii_hilo,Hawaii Hilo,55,"Tupouata, Tovale",False,18,2,3,0.667,0,0,,0,0,,1,4,5,4,2,2,0,1,4
2023-11-01_hawaii_hawaii_hilo,Hawaii Hilo,23,"Oda, Kendall",False,16,1,4,0.25,1,1,1.0,1,2,0.5,0,1,1,1,0,0,0,0,4
2023-11-01_hawaii_hawaii_hilo,Hawaii Hilo,24,"Ingram, Erica",False,16,1,3,0.333,0,0,,0,2,0.0,1,6,7,0,0,0,0,1,2
2023-11-01_hawaii_hawaii_hilo,Hawaii Hilo,22,"Scholfield, Ramila",False,2,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,1,0,0,0
2023-11-01_hawaii_hawaii_hilo,Hawaii Hilo,TM,TEAM,False,0,0,0,,0,0,,0,0,,4,0,4,0,0,5,0,0,0
2023-11-01_hawaii_hawaii_hilo,Hawaii,23,"McBee, MeiLani",True,26,4,11,0.364,4,10,0.4,1,2,0.5,0,6,6,0,1,0,0,2,13
2023-11-01_hawaii_hawaii_hilo,Hawaii,03,"Wahinekapu, Lily",True,23,2,6,0.333,1,2,0.5,3,4,0.75,0,0,0,0,4,2,0,2,8
2023-11-01_hawaii_hawaii_hilo,Hawaii,15,"Phillips, Daejah",True,25,2,5,0.4,0,0,,3,6,0.5,3,3,6,0,4,0,0,3,7
