game_id,team,q1_fg,q1_3p,q1_ft,q2_fg,q2_3p,q2_ft,q3_fg,q3_3p,q3_ft,q4_fg,q4_3p,q4_ft,ot1_fg,ot1_3p,ot1_ft,total_fg,total_3p,total_ft,technical_fouls,second_chance_pts,scores_tied,pts_in_paint,fast_break_pts,lead_changes,pts_off_turnovers,bench_pts
2023-11-01_hawaii_hawaii_hilo,Hawaii Hilo,1-11,0-3,3-4,4-10,1-4,3-7,5-15,1-2,0-0,4-15,3-7,0-0,,,,14-51,5-16,6-11,0,9,1,16,2,1,5,15
2023-11-01_hawaii_hawaii_hilo,Hawaii,9-18,4-9,0-0,4-9,1-4,6-10,7-18,2-7,3-4,3-14,1-4,4-6,,,,23-59,8-24,13-20,0,9,1,28,14,1,20,27
2023-11-02_cal_poly_simpson_ca,Simpson (CA),1-8,0-5,1-4,0-13,0-4,4-6,3-11,1-5,0-0,1-9,0-5,2-4,,,,5-41,1-19,7-14,0,2,0,6,2,0,2,5
2023-11-02_cal_poly_simpson_ca,Cal Poly,5-14,3-7,2-2,5-11,1-3,5-7,8-17,1-2,0-0,10-15,2-3,0-0,,,,28-57,7-15,7-9,0,15,0,34,17,0,30,29
2023-11-02_csu_bakersfield_hope_intl,Hope Int'l,5-19,3-12,0-0,3-21,1-4,1-2,9-15,3-6,3-3,6-20,2-9,2-4,,,,23-75,9-31,6-9,0,14,5,24,3,5,6,20
2023-11-02_csu_bakersfield_hope_intl,CSU Bakersfield,5-20,2-11,2-2,8-18,4-7,2-2,6-17,3-10,1-2,3-15,3-8,11-14,,,,22-70,12-36,16-20,0,7,5,18,15,5,19,31
2023-11-06_uc_davis_academy_of_art,Academy of Art,2-11,2-5,1-2,8-15,2-3,0-0,5-15,0-5,1-5,5-15,2-10,4-8,,,,20-56,6-23,6-15,0,0,0,24,3,0,6,13
2023-11-06_uc_davis_academy_of_art,UC Davis,9-19,3-8,1-2,10-17,4-10,6-8,9-18,5-12,2-4,10-22,3-7,2-3,,,,38-76,15-37,11-17,0,23,0,44,21,0,26,37
2023-11-06_uc_san_diego_california_baptist,California Baptist,5-14,2-9,3-4,9-13,3-5,3-4,6-11,1-4,0-0,3-10,1-7,5-9,,,,23-48,7-25,11-17,0,3,2,30,4,4,14,21
2023-11-06_uc_san_diego_california_baptist,UC San Diego,5-15,1-6,0-1,5-19,2-9,2-4,5-15,1-7,4-6,4-16,1-7,1-2,,,,19-65,5-29,7-13,0,13,2,24,3,4,18,5
2023-11-06_washington_st_cal_poly,Cal Poly,9-14,3-5,2-2,4-13,2-4,1-2,4-14,1-3,0-1,5-16,2-2,6-8,,,,22-57,8-14,9-13,0,16,10,18,0,10,12,23
2023-11-06_washington_st_cal_poly,Washington St.,5-12,3-6,4-6,4-16,3-10,3-4,9-16,2-4,3-7,8-12,2-5,6-8,,,,26-56,10-25,16-25,0,13,10,30,17,10,15,22
2023-11-06_csun_utah_st,Utah St.,7-17,0-2,2-5,4-12,0-4,2-4,7-18,0-5,6-10,7-13,0-3,4-6,,,,25-60,0-14,14-25,0,21,3,44,10,3,17,36
2023-11-06_csun_utah_st,CSUN,8-17,5-12,0-2,8-18,0-7,6-8,6-20,1-6,0-0,7-13,3-6,6-10,,,,29-68,9-31,12-20,0,13,3,34,20,3,19,40
2023-11-06_california_csu_bakersfield,CSU Bakersfield,4-13,2-6,2-4,3-19,1-4,4-6,6-20,1-6,2-2,7-14,2-3,2-4,,,,20-66,6-19,10-16,0,10,0,24,4,0,9,19
2023-11-06_california_csu_bakersfield,California,10-18,3-5,0-0,7-15,2-5,1-3,9-19,3-11,1-2,8-15,3-8,8-10,,,,34-67,11-29,10-15,0,7,0,40,15,0,18,38
2023-11-06_smu_uc_riverside,UC Riverside,3-13,0-6,2-2,7-16,3-10,0-0,8-22,2-7,3-4,3-13,0-2,3-6,,,,21-64,5-25,8-12,0,11,1,24,7,0,18,6
2023-11-06_smu_uc_riverside,SMU,5-15,3-7,3-4,8-14,1-3,4-5,6-15,1-4,3-3,10-12,2-2,3-7,,,,29-56,7-16,13-19,0,6,1,34,17,0,15,19
2023-11-07_pepperdine_uc_irvine,UC Irvine,9-18,3-5,1-1,3-11,0-1,2-2,2-17,2-9,7-8,4-17,1-7,6-11,,,,18-63,6-22,16-22,0,16,0,24,6,1,14,12
2023-11-07_pepperdine_uc_irvine,Pepperdine,5-13,0-2,0-1,7-15,2-5,1-2,9-14,4-5,2-3,4-8,1-2,3-5,,,,25-50,7-14,6-11,0,4,0,30,6,1,20,15
2023-11-07_uc_santa_barbara_san_francisco,San Francisco,4-16,3-10,3-4,6-14,3-7,5-6,9-18,3-9,5-9,7-14,1-2,0-0,,,,26-62,10-28,13-19,0,5,1,30,6,0,9,12
2023-11-07_uc_santa_barbara_san_francisco,UC Santa Barbara,11-16,1-4,8-10,10-20,2-7,0-0,5-14,1-3,2-2,8-17,5-10,0-0,,,,34-67,9-24,10-12,0,4,1,40,0,0,21,24
2023-11-08_stanford_hawaii,Hawaii,5-16,1-4,1-1,2-13,1-4,5-8,3-16,2-6,0-0,3-13,0-3,4-5,,,,13-58,4-17,10-14,0,0,0,14,2,0,2,11
2023-11-08_stanford_hawaii,Stanford,8-18,0-2,8-8,8-16,3-5,3-3,8-15,0-3,4-4,8-17,1-7,4-5,,,,32-66,4-17,19-20,0,14,0,46,12,0,13,37
2023-11-08_uc_san_diego_life_pacific,LIFE Pacific,3-13,0-4,1-1,5-15,1-4,0-0,2-14,0-10,0-0,3-15,2-10,2-2,,,,13-57,3-28,3-3,0,0,0,18,3,0,0,10
2023-11-08_uc_san_diego_life_pacific,UC San Diego,8-16,2-6,0-0,8-18,2-5,3-6,6-18,2-8,6-7,13-25,2-5,1-2,,,,35-77,8-24,10-15,0,23,0,54,10,0,30,53
2023-11-08_idaho_cal_poly,Cal Poly,7-17,1-3,2-2,4-14,1-2,7-8,6-14,2-4,3-3,4-11,0-1,7-8,,,,21-56,4-10,19-21,11,18,2,30,4,2,5,13
2023-11-08_idaho_cal_poly,Idaho,6-15,2-6,0-0,4-16,2-9,5-6,3-14,2-6,3-4,4-12,2-6,5-8,,,,17-57,8-27,13-18,1,9,2,16,8,2,18,19
2023-11-08_long_beach_st_biola,Biola,3-15,2-8,4-4,8-20,2-8,2-2,5-13,2-4,4-5,5-14,2-9,2-4,,,,21-62,8-29,12-15,0,7,0,20,2,0,19,12
2023-11-08_long_beach_st_biola,Long Beach St.,11-21,3-6,3-4,4-15,1-5,5-6,6-14,1-6,4-6,11-16,1-4,0-1,,,,32-66,6-21,12-17,0,12,0,44,28,0,25,35
2023-11-09_uc_davis_portland_st,Portland St.,10-15,2-5,0-0,6-10,1-2,6-12,6-15,1-7,3-5,4-11,1-6,5-8,,,,26-51,5-20,14-25,0,8,2,40,12,0,18,5
2023-11-09_uc_davis_portland_st,UC Davis,5-15,0-4,2-2,3-17,2-8,0-2,11-18,5-10,1-2,5-12,1-4,3-4,,,,24-62,8-26,6-10,0,12,2,30,12,0,16,19
2023-11-09_csun_seattle_u,Seattle U,11-19,1-4,1-3,4-16,3-7,2-2,4-8,1-4,5-6,5-12,1-6,4-4,,,,24-55,6-21,12-15,1,10,2,36,18,1,22,16
