game_id,date,home_team,away_team,home_score,away_score,winner,site_location,home_away_neutral,is_conference_game,season,source_url
2023-11-01_hawaii_hawaii_hilo,2023-11-01,Hawaii,Hawaii Hilo,67,39,Hawaii,"Honolulu, O'ahu",home,False,2023-24,https://hawaiiathletics.com/sports/womens-basketball/stats/2023-2024/uh-hilo-exhibition-/boxscore/28784
2023-11-02_cal_poly_simpson_ca,2023-11-02,Cal Poly,Simpson (CA),70,18,Cal Poly,"San Luis Obispo, Calif.",home,False,2023-24,https://gopoly.com/sports/womens-basketball/stats/2023-24/simpson-university-calif-exhibition-/boxscore/7611
2023-11-02_csu_bakersfield_hope_intl,2023-11-02,CSU Bakersfield,Hope Int'l,72,61,CSU Bakersfield,"Bakersfield, CA",home,False,2023-24,https://gorunners.com/sports/womens-basketball/stats/2023-24/hope-international-exh-/boxscore/10160
2023-11-06_uc_davis_academy_of_art,2023-11-06,UC Davis,Academy of Art,102,52,UC Davis,"Davis, CA",home,False,2023-24,https://ucdavisaggies.com/sports/womens-basketball/stats/2023-24/academy-of-art/boxscore/27313
2023-11-06_uc_san_diego_california_baptist,2023-11-06,UC San Diego,California Baptist,50,64,California Baptist,"La Jolla, Calif.",home,False,2023-24,https://ucsdtritons.com/sports/womens-basketball/stats/2023-24/california-baptist/boxscore/9620
2023-11-06_washington_st_cal_poly,2023-11-06,Washington St.,Cal Poly,78,61,Washington St.,"Pullman, WA",away,False,2023-24,https://gopoly.com/sports/womens-basketball/stats/2023-24/washington-state/boxscore/7612
2023-11-06_csun_utah_st,2023-11-06,CSUN,Utah St.,79,64,CSUN,"Northridge, Calif.",home,False,2023-24,https://gomatadors.com/sports/womens-basketball/stats/2023-24/utah-state/boxscore/16054
2023-11-06_california_csu_bakersfield,2023-11-06,California,CSU Bakersfield,89,56,California,"Berkeley, CA",away,False,2023-24,https://gorunners.com/sports/womens-basketball/stats/2023-24/california/boxscore/10142
2023-11-06_smu_uc_riverside,2023-11-06,SMU,UC Riverside,78,55,SMU,"Dallas, Texas",away,False,2023-24,https://gohighlanders.com/sports/womens-basketball/stats/2023-24/smu/boxscore/14122
2023-11-07_pepperdine_uc_irvine,2023-11-07,Pepperdine,UC Irvine,63,58,Pepperdine,"Malibu, Calif.",away,False,2023-24,https://ucirvinesports.com/sports/womens-basketball/stats/2023-24/pepperdine/boxscore/12498
2023-11-07_uc_santa_barbara_san_francisco,2023-11-07,UC Santa Barbara,San Francisco,87,75,UC Santa Barbara,"Santa Barbara, Calif.",home,False,2023-24,https://ucsbgauchos.com/sports/womens-basketball/stats/2023-24/san-francisco/boxscore/9772
2023-11-08_stanford_hawaii,2023-11-08,Stanford,Hawaii,87,40,Stanford,"Stanford, Calif.",away,False,2023-24,https://hawaiiathletics.com/sports/womens-basketball/stats/2023-2024/stanford/boxscore/28787
2023-11-08_uc_san_diego_life_pacific,2023-11-08,UC San Diego,LIFE Pacific,88,32,UC San Diego,"La Jolla, Calif.",home,False,2023-24,https://ucsdtritons.com/sports/womens-basketball/stats/2023-24/life-pacific/boxscore/9590
2023-11-08_idaho_cal_poly,2023-11-08,Idaho,Cal Poly,55,65,Cal Poly,"Moscow, ID",away,False,2023-24,https://gopoly.com/sports/womens-basketball/stats/2023-24/university-of-idaho/boxscore/7613
2023-11-08_long_beach_st_biola,2023-11-08,Long Beach St.,Biola,82,62,Long Beach St.,"Long Beach, Calif.",home,False,2023-24,https://longbeachstate.com/sports/womens-basketball/stats/2023-24/biola/boxscore/8406
2023-11-09_uc_davis_portland_st,2023-11-09,UC Davis,Portland St.,62,71,Portland St.,"Davis, CA",home,False,2023-24,https://ucdavisaggies.com/sports/womens-basketball/stats/2023-24/portland-state/boxscore/27314
2023-11-09_csun_seattle_u,2023-11-09,CSUN,Seattle U,81,72,CSUN,"Northridge, Calif.",home,False,2023-24,https://gomatadors.com/sports/womens-basketball/stats/2023-24/seattle-university/boxscore/16055
2023-11-09_ucla_uc_riverside,2023-11-09,UCLA,UC Riverside,90,52,UCLA,"Los Angeles, Calif.",away,False,2023-24,https://gohighlanders.com/sports/womens-basketball/stats/2023-24/ucla/boxscore/14123
2023-11-10_pacific_cal_st_fullerton,2023-11-10,Pacific,Cal St. Fullerton,73,57,Pacific,"Stockton, CA",away,False,2023-24,https://fullertontitans.com/sports/womens-basketball/stats/2023-24/university-of-the-pacific/boxscore/6289
2023-11-11_santa_clara_hawaii,2023-11-11,Santa Clara,Hawaii,62,51,Santa Clara,"Santa Clara, Calif.",away,False,2023-24,https://hawaiiathletics.com/sports/womens-basketball/stats/2023-2024/santa-clara/boxscore/28788
2023-11-11_uc_irvine_seattle_u,2023-11-11,UC Irvine,Seattle U,74,43,UC Irvine,"Irvine, Calif.",home,False,2023-24,https://ucirvinesports.com/sports/womens-basketball/stats/2023-24/seattle-u/boxscore/12499
2023-11-11_san_jose_st_cal_poly,2023-11-11,San Jose St.,Cal Poly,61,56,San Jose St.,"San Jose, CA",away,False,2023-24,https://gopoly.com/sports/womens-basketball/stats/2023-24/san-jose-state/boxscore/7614
2023-11-12_saint_marys_ca_uc_san_diego,2023-11-12,Saint Mary's (CA),UC San Diego,61,58,Saint Mary's (CA),"Moraga, Calif.",away,False,2023-24,https://ucsdtritons.com/sports/womens-basketball/stats/2023-24/saint-mary-s/boxscore/9591
2023-11-12_long_beach_st_nevada,2023-11-12,Long Beach St.,Nevada,79,57,Long Beach St.,"Long Beach, Calif.",home,False,2023-24,https://longbeachstate.com/sports/womens-basketball/stats/2023-24/nevada/boxscore/8407
2023-11-12_sacramento_st_cal_st_fullerton,2023-11-12,Sacramento St.,Cal St. Fullerton,51,61,Cal St. Fullerton,"Sacramento, CA",away,False,2023-24,https://fullertontitans.com/sports/womens-basketball/stats/2023-24/sacramento-state/boxscore/6290
2023-11-12_pacific_csu_bakersfield,2023-11-12,Pacific,CSU Bakersfield,67,54,Pacific,"Stockton, CA",away,False,2023-24,https://gorunners.com/sports/womens-basketball/stats/2023-24/pacific/boxscore/10161
2023-11-13_san_diego_st_uc_davis,2023-11-13,San Diego St.,UC Davis,77,68,San Diego St.,"San Diego, CA",away,False,2023-24,https://ucdavisaggies.com/sports/womens-basketball/stats/2023-24/san-diego-state/boxscore/27386
2023-11-13_california_cal_poly,2023-11-13,California,Cal Poly,74,60,California,"Berkeley, CA",away,False,2023-24,https://gopoly.com/sports/womens-basketball/stats/2023-24/cal/boxscore/7708
2023-11-14_saint_marys_ca_uc_irvine,2023-11-14,Saint Mary's (CA),UC Irvine,52,37,Saint Mary's (CA),"Moraga, Calif.",away,False,2023-24,https://ucirvinesports.com/sports/womens-basketball/stats/2023-24/saint-mary-s/boxscore/12500
2023-11-14_santa_clara_csun,2023-11-14,Santa Clara,CSUN,71,39,Santa Clara,"Santa Clara, Calif.",away,False,2023-24,https://gomatadors.com/sports/womens-basketball/stats/2023-24/santa-clara/boxscore/16056
2023-11-15_uc_san_diego_la_sierra,2023-11-15,UC San Diego,La Sierra,94,40,UC San Diego,"La Jolla, Calif.",home,False,2023-24,https://ucsdtritons.com/sports/womens-basketball/stats/2023-24/la-sierra/boxscore/9592
