game_id,period,time_remaining,team,player,play,away_score,home_score
2025-11-03_washington_seattle_u,1,09:44,Seattle U,"GRABOVSKAIA,YULIA","GOOD LAYUP by GRABOVSKAIA,YULIA",0,2
2025-11-03_washington_seattle_u,1,09:44,Seattle U,"SELLERS,SAYVIA","ASSIST by SELLERS,SAYVIA",,
2025-11-03_washington_seattle_u,1,09:29,Washington,"BRUBAKER,ELLA","TURNOVER by BRUBAKER,ELLA",,
2025-11-03_washington_seattle_u,1,09:29,Seattle U,"SELLERS,SAYVIA","STEAL by SELLERS,SAYVIA",,
2025-11-03_washington_seattle_u,1,09:24,Seattle U,"BROWN,TEAGAN","GOOD LAYUP by BROWN,TEAGAN",0,4
2025-11-03_washington_seattle_u,1,09:24,Seattle U,"SELLERS,SAYVIA","ASSIST by SELLERS,SAYVIA",,
2025-11-03_washington_seattle_u,1,09:00,Washington,"BIGOVIC,ANDJELA","GOOD JUMPER by BIGOVIC,ANDJELA",2,4
2025-11-03_washington_seattle_u,1,08:39,Seattle U,"SELLERS,SAYVIA","FOUL by SELLERS,SAYVIA",,
2025-11-03_washington_seattle_u,1,08:39,Seattle U,"SELLERS,SAYVIA","TURNOVER by SELLERS,SAYVIA",,
2025-11-03_washington_seattle_u,1,08:36,Washington,"BRUBAKER,ELLA","MISS JUMPER by BRUBAKER,ELLA",,
2025-11-03_washington_seattle_u,1,08:32,Seattle U,"GRABOVSKAIA,YULIA","REBOUND DEF by GRABOVSKAIA,YULIA",,
2025-11-03_washington_seattle_u,1,08:20,Seattle U,"HOWELL,AVERY","GOOD 3PTR by HOWELL,AVERY",2,7
2025-11-03_washington_seattle_u,1,08:20,Seattle U,"GRABOVSKAIA,YULIA","ASSIST by GRABOVSKAIA,YULIA",,
2025-11-03_washington_seattle_u,1,08:12,Washington,"MOGEL,DYLAN","FOUL by MOGEL,DYLAN",,
2025-11-03_washington_seattle_u,1,08:12,Washington,"MOGEL,DYLAN","TURNOVER by MOGEL,DYLAN",,
2025-11-03_washington_seattle_u,1,07:48,Seattle U,"SELLERS,SAYVIA","TURNOVER by SELLERS,SAYVIA",,
2025-11-03_washington_seattle_u,1,07:28,Washington,"BRUBAKER,ELLA","MISS JUMPER by BRUBAKER,ELLA",,
2025-11-03_washington_seattle_u,1,07:24,Seattle U,"STINES,HANNAH","REBOUND DEF by STINES,HANNAH",,
2025-11-03_washington_seattle_u,1,07:16,Seattle U,"HOWELL,AVERY","GOOD 3PTR by HOWELL,AVERY",2,10
