game_id,team,jersey,player,started,min,fg_m,fg_a,fg_pct,3p_m,3p_a,3p_pct,ft_m,ft_a,ft_pct,oreb,dreb,reb,pf,ast,to,blk,stl,pts
2025-11-03_washington_seattle_u,Seattle U,14,"Stricklin, Tamia",True,23,6,11,0.545,0,0,,0,0,,2,2,4,3,0,6,0,1,12
2025-11-03_washington_seattle_u,Seattle U,3,"Brubaker, Ella",True,24,3,9,0.333,2,4,0.5,0,0,,2,2,4,1,2,3,1,0,8
2025-11-03_washington_seattle_u,Seattle U,6,"Bigovic, Andjela",True,17,2,5,0.4,0,2,0.0,0,0,,0,1,1,0,0,1,1,0,4
2025-11-03_washington_seattle_u,Seattle U,24,"Rodriguez, Sydnie",True,25,1,10,0.1,1,8,0.125,0,0,,2,3,5,1,0,0,0,0,3
2025-11-03_washington_seattle_u,Seattle U,5,"Mogel, Dylan",True,26,0,1,0.0,0,0,,1,2,0.5,0,0,0,2,3,4,0,1,1
2025-11-03_washington_seattle_u,Seattle U,9,"Vesic, Jana",False,18,1,9,0.111,0,3,0.0,4,4,1.0,1,1,2,1,2,4,0,0,6
2025-11-03_washington_seattle_u,Seattle U,7,"Milkovic, Lucija",False,15,2,5,0.4,0,0,,0,0,,3,4,7,2,0,1,2,0,4
2025-11-03_washington_seattle_u,Seattle U,8,"Emanga, Chloe",False,15,1,4,0.25,1,1,1.0,0,0,,0,1,1,3,0,1,0,1,3
2025-11-03_washington_seattle_u,Seattle U,22,"Larson, Lucy",False,14,1,3,0.333,0,1,0.0,0,1,0.0,0,1,1,3,0,1,0,1,2
2025-11-03_washington_seattle_u,Seattle U,21,"Ibarra, Aaliyah",False,13,0,2,0.0,0,1,0.0,0,0,,0,0,0,3,0,0,0,0,0
2025-11-03_washington_seattle_u,Seattle U,4,"Proctor, Fia",False,10,0,1,0.0,0,0,,0,0,,0,0,0,1,0,0,0,0,0
2025-11-03_washington_seattle_u,Seattle U,TM,TEAM,False,0,0,0,,0,0,,0,0,,3,3,6,0,0,0,0,0,0
2025-11-03_washington_seattle_u,Washington,00,"Sellers, Sayvia",True,17,9,13,0.692,1,4,0.25,2,3,0.667,0,3,3,1,6,4,1,4,21
2025-11-03_washington_seattle_u,Washington,2,"Howell, Avery",True,19,5,5,1.0,4,4,1.0,4,5,0.8,0,4,4,1,0,0,0,0,18
2025-11-03_washington_seattle_u,Washington,1,"Stines, Hannah",True,22,3,8,0.375,0,0,,1,2,0.5,0,4,4,1,5,0,0,3,7
2025-11-03_washington_seattle_u,Washington,5,"Brown, Teagan",True,22,3,3,1.0,0,0,,0,0,,1,1,2,0,1,0,0,1,6
2025-11-03_washington_seattle_u,Washington,55,"Grabovskaia, Yulia",True,14,2,5,0.4,0,0,,0,0,,3,2,5,0,4,1,1,0,4
2025-11-03_washington_seattle_u,Washington,35,"Harvey, Sienna",False,16,6,10,0.6,1,2,0.5,2,3,0.667,0,2,2,0,1,2,0,1,15
2025-11-03_washington_seattle_u,Washington,11,"Briggs, Chloe",False,23,2,7,0.286,0,2,0.0,2,3,0.667,2,3,5,1,0,1,0,0,6
2025-11-03_washington_seattle_u,Washington,23,"Anderson, Olivia",False,12,1,4,0.25,0,1,0.0,3,4,0.75,3,0,3,1,1,1,4,0,5
2025-11-03_washington_seattle_u,Washington,21,"McGaughy, Brynn",False,12,2,5,0.4,0,0,,0,0,,2,1,3,0,0,1,2,0,4
2025-11-03_washington_seattle_u,Washington,3,"Coppinger, Devin",False,22,1,5,0.2,0,3,0.0,0,0,,3,0,3,3,1,0,0,0,2
2025-11-03_washington_seattle_u,Washington,22,"Gillmer, Shayla",False,12,1,2,0.5,0,0,,0,2,0.0,2,1,3,0,0,1,1,1,2
2025-11-03_washington_seattle_u,Washington,25,"Cain, Nina",False,9,0,0,,0,0,,0,2,0.0,2,4,6,1,0,0,0,1,0
2025-11-03_washington_seattle_u,Washington,TM,TEAM,False,0,0,0,,0,0,,0,0,,1,3,4,0,0,0,0,0,0
2025-11-10_washington_montana,Montana,10,"Waddington, Avery",True,35,5,12,0.417,4,7,0.571,0,0,,1,3,4,3,4,1,1,1,14
2025-11-10_washington_montana,Montana,2,"Konig, Mack",True,35,5,13,0.385,1,2,0.5,0,0,,0,1,1,2,3,2,1,0,11
2025-11-10_washington_montana,Montana,23,"Land, Jocelyn",True,24,2,8,0.25,2,8,0.25,4,4,1.0,0,2,2,4,1,0,0,0,10
2025-11-10_washington_montana,Montana,1,"Donarski, Macy",True,18,1,2,0.5,1,1,1.0,0,0,,0,3,3,1,1,1,0,0,3
2025-11-10_washington_montana,Montana,11,"Shubert, Aby",True,15,1,6,0.167,1,5,0.2,0,0,,0,2,2,3,0,1,0,0,3
