game_id,date,home_team,away_team,home_score,away_score,winner,site_location,home_away_neutral,is_conference_game,season,source_url
2025-11-03_washington_seattle_u,2025-11-03,Washington,Seattle U,90,43,Washington,"Seattle, Wash.",home,False,2025-26,https://gohuskies.com/sports/womens-basketball/stats/2025-26/seattle-u/boxscore/24802
2025-11-10_washington_montana,2025-11-10,Washington,Montana,87,56,Washington,"Seattle, Wash.",home,False,2025-26,https://gohuskies.com/sports/womens-basketball/stats/2025-26/montana/boxscore/24803
2025-11-15_utah_washington,2025-11-15,Utah,Washington,61,72,Washington,"Salt Lake City, Utah",away,False,2025-26,https://gohuskies.com/sports/womens-basketball/stats/2025-26/utah/boxscore/24804
2025-11-19_washington_fresno_st,2025-11-19,Washington,Fresno St.,61,43,Washington,"Seattle, Wash.",home,False,2025-26,https://gohuskies.com/sports/womens-basketball/stats/2025-26/fresno-state/boxscore/24805
2025-11-23_washington_vermont,2025-11-23,Washington,Vermont,71,39,Washington,"Seattle, Wash.",home,False,2025-26,https://gohuskies.com/sports/womens-basketball/stats/2025-26/vermont/boxscore/24806
2025-11-25_washington_southern_u,2025-11-25,Washington,Southern U.,66,40,Washington,"Seattle, Wash.",home,False,2025-26,https://gohuskies.com/sports/womens-basketball/stats/2025-26/southern-university/boxscore/24807
2025-11-28_washington_uc_san_diego,2025-11-28,Washington,UC San Diego,67,50,Washington,"Seattle, Wash.",home,False,2025-26,https://gohuskies.com/sports/womens-basketball/stats/2025-26/uc-san-diego/boxscore/24808
2025-12-01_washington_san_jose_st,2025-12-01,Washington,San Jose St.,80,54,Washington,"Seattle, Wash.",home,False,2025-26,https://gohuskies.com/sports/womens-basketball/stats/2025-26/san-jose-state/boxscore/24809
2025-12-07_southern_california_washington,2025-12-07,Southern California,Washington,59,50,Southern California,"Los Angeles, Calif.",away,False,2025-26,https://gohuskies.com/sports/womens-basketball/stats/2025-26/usc/boxscore/24810
2025-12-13_washington_green_bay,2025-12-13,Washington,Green Bay,79,74,Washington,"Seattle, Wash.",home,False,2025-26,https://gohuskies.com/sports/womens-basketball/stats/2025-26/green-bay/boxscore/24811
2025-12-19_stanford_washington,2025-12-19,Stanford,Washington,67,62,Stanford,"Stanford, Calif.",away,False,2025-26,https://gohuskies.com/sports/womens-basketball/stats/2025-26/stanford/boxscore/24812
2025-12-21_pacific_washington,2025-12-21,Pacific,Washington,50,90,Washington,"Stockton, Calif.",away,False,2025-26,https://gohuskies.com/sports/womens-basketball/stats/2025-26/pacific/boxscore/24813
