game_id,team,q1_fg,q1_3p,q1_ft,q2_fg,q2_3p,q2_ft,q3_fg,q3_3p,q3_ft,q4_fg,q4_3p,q4_ft,ot1_fg,ot1_3p,ot1_ft,total_fg,total_3p,total_ft,technical_fouls,second_chance_pts,scores_tied,pts_in_paint,fast_break_pts,lead_changes,pts_off_turnovers,bench_pts
2020-11-25_uc_davis_san_francisco,San Francisco,8-18,3-5,1-2,7-19,1-3,0-0,7-14,2-5,3-4,6-16,3-4,6-10,,,,28-67,9-17,10-16,0,14,4,32,12,10,18,12
2020-11-25_uc_davis_san_francisco,UC Davis,7-15,2-4,3-3,8-18,2-4,1-2,6-10,1-1,10-11,8-16,2-5,3-6,,,,29-59,7-14,17-22,0,11,4,26,5,10,12,13
2020-11-25_stanford_cal_poly,Cal Poly,6-16,1-4,1-2,2-17,0-2,0-0,3-14,0-8,0-0,5-18,3-4,3-4,,,,16-65,4-18,4-6,0,8,2,18,0,2,5,14
2020-11-25_stanford_cal_poly,Stanford,8-15,1-1,4-7,10-17,4-9,6-10,10-21,3-9,4-6,10-19,6-11,4-8,,,,38-72,14-30,18-31,0,21,2,44,27,2,42,56
2020-11-27_ucla_cal_st_fullerton,Cal St. Fullerton,5-14,1-6,0-0,5-12,3-8,0-0,3-12,1-5,4-8,4-12,0-3,6-6,,,,17-50,5-22,10-14,0,8,1,10,9,1,5,14
2020-11-27_ucla_cal_st_fullerton,UCLA,8-17,1-5,6-6,8-15,3-8,4-6,10-19,3-7,6-10,8-19,1-3,6-10,,,,34-70,8-23,22-32,0,16,1,46,26,1,44,15
2020-11-28_uc_irvine_california_baptist,California Baptist,6-18,3-6,1-2,7-17,1-6,0-0,11-14,3-3,4-7,4-16,2-9,2-4,,,,28-65,9-24,7-13,0,4,1,38,11,0,9,25
2020-11-28_uc_irvine_california_baptist,UC Irvine,4-17,2-8,1-4,4-18,2-8,1-2,3-20,0-6,5-8,6-16,1-6,9-9,,,,17-71,5-28,16-23,0,12,1,14,5,0,11,13
2020-11-29_california_csu_bakersfield,CSU Bakersfield,9-18,0-2,0-0,8-14,2-4,0-0,8-16,3-6,1-1,2-10,0-3,0-0,,,,27-58,5-15,1-1,0,4,4,28,2,2,22,20
2020-11-29_california_csu_bakersfield,California,6-13,0-1,3-4,3-9,1-2,7-10,4-17,1-6,5-6,3-14,0-5,3-3,,,,16-53,2-14,18-23,0,20,4,28,5,2,15,13
2020-12-02_cal_st_fullerton_unlv,UNLV,4-15,3-8,7-12,8-15,5-8,5-7,8-18,4-6,4-4,3-10,0-2,7-12,,,,23-58,12-24,23-35,0,14,1,22,7,3,27,27
2020-12-02_cal_st_fullerton_unlv,Cal St. Fullerton,5-13,2-5,5-5,5-15,1-4,3-4,6-10,1-2,3-6,7-12,2-4,4-9,,,,23-50,6-15,15-24,0,5,1,30,4,2,20,19
2020-12-03_loyola_marymount_uc_irvine,UC Irvine,7-14,2-7,3-6,6-21,2-4,1-2,6-19,1-9,0-0,2-13,1-8,4-7,,,,21-67,6-28,8-15,0,15,5,24,2,4,19,10
2020-12-03_loyola_marymount_uc_irvine,Loyola Marymount,5-12,0-3,3-4,6-14,1-6,2-2,6-12,2-6,2-2,7-13,2-5,6-8,,,,24-51,5-20,13-16,0,11,5,36,6,4,16,2
2020-12-05_california_baptist_uc_riverside,UC Riverside,6-13,1-3,6-6,6-20,1-6,4-6,4-16,1-7,3-6,4-19,0-6,2-2,,,,20-68,3-22,15-20,0,10,1,28,9,0,14,18
2020-12-05_california_baptist_uc_riverside,California Baptist,9-15,1-5,6-6,7-16,3-9,1-2,5-17,0-5,3-3,4-14,0-4,3-4,,,,25-62,4-23,13-15,0,2,1,40,12,0,14,21
2020-12-08_cal_st_fullerton_san_diego,San Diego,8-17,1-4,1-3,9-12,1-2,4-4,3-14,1-6,3-4,7-19,4-6,1-2,,,,27-62,7-18,9-13,0,6,0,30,14,0,22,26
2020-12-08_cal_st_fullerton_san_diego,Cal St. Fullerton,6-12,2-4,1-1,3-17,0-7,4-5,7-10,1-3,2-4,7-12,3-6,1-1,,,,23-51,6-20,8-11,1,8,1,30,4,0,14,27
2020-12-08_pepperdine_csu_bakersfield,CSU Bakersfield,8-17,2-4,0-0,6-12,2-6,2-4,5-16,1-3,1-2,4-10,0-1,4-6,,,,23-55,5-14,7-12,0,5,1,28,2,0,10,20
2020-12-08_pepperdine_csu_bakersfield,Pepperdine,9-16,3-3,1-1,8-13,1-2,7-10,5-13,1-3,2-2,4-16,1-5,1-3,,,,26-58,6-13,11-16,0,22,1,30,6,0,9,31
2020-12-09_uc_irvine_westmont,Westmont,5-17,4-11,4-8,2-17,1-10,3-4,8-15,2-6,1-3,7-15,3-8,7-8,,,,22-64,10-35,15-23,0,9,9,24,5,16,13,4
2020-12-09_uc_irvine_westmont,UC Irvine,6-10,2-4,4-5,4-12,1-6,0-0,8-12,1-3,5-8,7-12,2-4,4-8,,,,25-46,6-17,13-21,0,12,9,36,10,16,13,45
2020-12-09_ucla_uc_santa_barbara,UC Santa Barbara,3-12,1-4,1-2,5-14,4-10,2-4,2-9,0-1,6-9,4-12,2-7,1-5,,,,14-47,7-22,10-20,0,0,0,14,2,0,6,8
2020-12-09_ucla_uc_santa_barbara,UCLA,9-18,4-7,0-0,13-23,4-6,4-4,5-17,2-7,8-8,12-19,0-0,2-2,,,,39-77,10-20,14-14,0,16,0,52,23,0,25,29
2020-12-10_cal_poly_new_mexico_st,New Mexico St.,7-14,0-3,1-2,4-7,0-1,8-9,7-13,1-4,2-5,5-16,1-5,1-1,,,,23-50,2-13,12-17,0,2,1,28,9,4,10,22
2020-12-10_cal_poly_new_mexico_st,Cal Poly,9-17,2-6,1-2,6-17,1-8,0-0,5-11,1-2,6-8,6-13,0-1,7-9,,,,26-58,4-17,14-19,0,13,1,30,4,4,9,6
2020-12-10_uc_riverside_fresno_pacific,Fresno Pacific,7-19,1-8,0-3,3-15,0-3,2-3,6-15,0-4,5-6,3-12,1-4,4-4,,,,19-61,2-19,11-16,0,9,2,20,5,2,12,11
2020-12-10_uc_riverside_fresno_pacific,UC Riverside,6-19,0-4,3-4,8-14,3-6,5-6,7-12,2-3,6-7,6-21,1-4,0-0,,,,27-66,6-17,14-17,0,8,2,32,15,2,23,25
2020-12-11_uc_santa_barbara_california_baptist,California Baptist,9-16,2-8,0-0,6-16,3-10,0-2,10-17,3-6,4-4,6-13,2-5,9-11,,,,31-62,10-29,13-17,0,0,0,36,10,2,17,17
2020-12-11_uc_santa_barbara_california_baptist,UC Santa Barbara,5-17,1-7,2-2,8-17,4-6,3-4,6-18,0-4,3-6,9-21,5-11,1-2,,,,28-73,10-28,9-14,0,12,4,28,0,1,10,13
2020-12-11_csu_bakersfield_santa_clara,Santa Clara,4-12,0-5,4-5,7-13,2-5,0-0,5-12,1-4,1-2,7-11,3-6,2-2,,,,23-48,6-20,7-9,0,4,5,26,13,3,18,14
2020-12-11_csu_bakersfield_santa_clara,CSU Bakersfield,6-13,0-4,2-2,2-11,0-5,4-8,5-9,0-2,2-4,6-12,1-3,2-2,,,,19-45,1-14,10-16,0,13,5,28,6,3,20,11
2020-12-12_long_beach_st_westmont,Westmont,7-14,2-5,1-3,4-13,1-5,2-2,7-14,0-4,2-3,5-13,2-6,3-4,,,,23-54,5-20,8-12,0,14,4,34,4,5,16,2
2020-12-12_long_beach_st_westmont,Long Beach St.,7-14,2-6,1-1,9-15,3-5,4-5,6-13,2-4,1-2,5-16,2-3,1-3,,,,27-58,9-18,7-11,0,7,4,30,11,5,19,11
2020-12-13_hawaii_hawaii_pacific,Hawaii Pacific,6-17,3-8,0-2,9-20,5-9,1-1,9-16,4-5,1-1,5-19,3-11,7-11,,,,29-72,15-33,9-15,0,8,7,24,16,10,15,14
2020-12-13_hawaii_hawaii_pacific,Hawaii,7-14,0-1,4-7,6-9,1-3,3-4,5-14,1-3,7-10,6-16,3-9,7-9,,,,24-53,5-16,21-30,0,13,7,34,9,10,12,24
2020-12-14_cal_poly_santa_clara,Santa Clara,7-14,3-6,1-2,4-16,1-8,1-1,6-14,4-6,3-3,1-11,1-6,6-8,,,,18-55,9-26,11-14,0,11,5,12,5,8,14,18
2020-12-14_cal_poly_santa_clara,Cal Poly,4-14,1-6,2-2,10-14,1-2,2-2,7-17,2-5,0-0,3-15,0-4,1-2,,,,24-60,4-17,5-6,0,3,5,26,6,8,15,8
2020-12-15_cal_poly_santa_clara,Santa Clara,2-17,1-7,0-0,8-15,2-4,0-0,4-13,3-7,7-9,7-9,2-2,2-3,,,,21-54,8-20,9-12,0,10,1,22,1,2,7,28
2020-12-15_cal_poly_santa_clara,Cal Poly,7-14,1-3,2-2,9-16,0-3,3-4,6-15,1-4,2-3,6-16,1-2,4-4,,,,28-61,3-12,11-13,0,11,1,38,16,2,25,14
2020-12-16_uc_irvine_saint_marys_ca,Saint Mary's (CA),9-17,1-4,2-3,6-15,1-7,4-4,6-13,1-5,5-7,3-10,2-5,3-8,,,,24-55,5-21,14-22,0,14,10,36,2,15,13,5
2020-12-16_uc_irvine_saint_marys_ca,UC Irvine,8-17,1-6,5-6,6-14,3-6,0-0,5-18,1-5,5-7,3-11,1-5,4-5,,,,22-60,6-22,14-18,0,11,10,30,17,15,17,14
2020-12-18_uc_santa_barbara_santa_clara,Santa Clara,7-13,2-6,0-0,7-16,1-7,3-4,8-18,4-5,6-7,9-17,2-5,2-2,,,,31-64,9-23,11-13,0,17,1,40,0,1,25,31
2020-12-18_uc_santa_barbara_santa_clara,UC Santa Barbara,5-12,2-6,0-0,5-12,2-8,2-2,7-16,1-5,3-4,5-13,4-10,2-4,,,,22-53,9-29,7-10,0,5,0,18,2,0,13,18
2020-12-19_san_diego_st_uc_irvine,UC Irvine,6-12,4-7,2-4,6-16,1-7,3-3,9-16,2-7,5-6,2-8,0-3,3-4,,,,23-52,7-24,13-17,0,8,0,24,21,1,24,44
2020-12-19_san_diego_st_uc_irvine,San Diego St.,3-12,1-5,1-2,4-15,2-8,6-7,5-11,3-5,4-8,4-13,1-4,5-8,,,,16-51,7-22,16-25,0,16,0,18,7,1,23,27
2020-12-19_uc_santa_barbara_santa_clara,Santa Clara,7-19,0-7,1-1,4-20,1-6,2-2,7-15,4-9,5-8,9-15,3-6,3-4,,,,27-69,8-28,11-15,0,17,2,36,8,5,34,43
2020-12-19_uc_santa_barbara_santa_clara,UC Santa Barbara,7-15,5-9,0-0,4-10,2-5,1-2,4-11,0-4,5-7,3-12,1-8,1-2,,,,18-48,8-26,7-11,0,7,0,8,0,4,14,17
2020-12-19_california_baptist_cal_poly,Cal Poly,4-16,0-3,0-0,6-17,0-3,0-0,4-16,0-4,3-4,4-13,0-1,12-18,,,,18-62,0-11,15-22,0,7,4,28,11,2,7,12
2020-12-19_california_baptist_cal_poly,California Baptist,5-18,1-11,2-3,3-13,0-6,1-2,8-16,3-6,7-10,5-12,1-6,4-4,,,,21-59,5-29,14-19,0,3,4,32,15,2,15,31
2020-12-20_hawaii_hawaii_hilo,Hawaii Hilo,4-16,0-6,1-4,9-17,6-9,0-0,3-11,2-5,1-4,4-14,1-5,3-4,,,,20-58,9-25,5-12,0,0,2,12,9,4,15,5
2020-12-20_hawaii_hawaii_hilo,Hawaii,6-12,0-4,5-8,4-15,2-7,5-10,10-20,0-3,2-5,7-10,2-3,1-1,,,,27-57,4-17,13-24,0,17,2,46,2,4,8,28
2020-12-20_san_diego_uc_irvine,UC Irvine,3-11,3-4,1-2,4-13,1-3,8-11,5-14,3-7,2-5,6-9,0-0,2-6,,,,18-47,7-14,13-24,0,7,0,16,5,0,11,21
2020-12-20_san_diego_uc_irvine,San Diego,9-16,1-5,2-3,5-14,3-6,4-6,7-15,1-2,7-12,5-17,2-8,3-4,,,,26-62,7-21,16-25,0,13,0,24,20,0,25,26
2020-12-21_san_diego_st_cal_poly,Cal Poly,6-17,3-5,0-0,8-17,2-6,3-4,8-15,4-5,0-0,5-11,3-5,4-6,,,,27-60,12-21,7-10,0,6,2,24,11,10,12,14
2020-12-21_san_diego_st_cal_poly,San Diego St.,6-15,4-8,1-2,6-13,2-6,3-4,3-12,1-5,6-6,6-14,2-5,2-3,,,,21-54,9-24,12-15,0,9,2,20,4,10,7,26
2020-12-23_southern_california_long_beach_st,Long Beach St.,6-13,3-6,0-0,5-15,2-5,3-4,4-13,1-4,1-2,8-18,3-7,6-7,,,,23-59,9-22,10-13,0,2,9,24,8,4,11,16
2020-12-23_southern_california_long_beach_st,Southern California,7-15,1-6,0-0,7-14,1-2,0-0,7-14,4-6,2-5,6-11,2-3,7-9,,,,27-54,8-17,9-14,0,4,9,22,7,4,12,8
2020-12-23_uc_riverside_santa_clara,Santa Clara,4-14,1-4,4-4,4-13,0-3,3-4,4-9,1-1,3-4,6-13,0-2,6-9,,,,18-49,2-10,16-21,0,12,4,30,9,5,18,13
2020-12-23_uc_riverside_santa_clara,UC Riverside,5-14,1-4,1-2,4-11,0-5,0-0,4-15,1-5,2-2,6-14,2-8,3-4,,,,19-54,4-22,6-8,0,5,4,18,3,5,9,16
2020-12-27_uc_santa_barbara_uc_irvine,UC Irvine,6-20,1-3,4-6,5-19,0-4,0-0,7-22,1-3,3-3,4-11,1-3,10-12,,,,22-72,3-13,17-21,0,19,1,28,8,1,16,9
2020-12-27_uc_santa_barbara_uc_irvine,UC Santa Barbara,4-13,1-5,4-5,5-16,0-4,2-2,5-14,3-10,0-0,6-13,5-7,5-5,,,,20-56,9-26,11-12,0,2,3,20,7,1,16,18
2020-12-27_long_beach_st_uc_riverside,UC Riverside,2-11,1-8,3-6,4-11,1-6,0-3,5-11,1-4,3-4,5-16,1-6,2-4,,,,16-49,4-24,8-17,0,2,1,14,6,1,7,6
2020-12-27_long_beach_st_uc_riverside,Long Beach St.,8-19,4-7,1-2,6-10,0-1,1-4,7-13,3-3,2-2,8-10,2-3,3-5,,,,29-52,9-14,7-13,0,7,1,34,12,1,25,21
2020-12-28_uc_santa_barbara_uc_irvine,UC Irvine,5-18,0-2,2-3,10-18,1-4,0-3,7-17,0-3,7-7,7-14,1-6,0-0,,,,29-67,2-15,9-13,0,10,2,50,15,3,22,30
2020-12-28_uc_santa_barbara_uc_irvine,UC Santa Barbara,4-11,3-7,2-4,4-12,3-8,4-4,3-10,2-6,2-2,5-11,3-8,5-6,,,,16-44,11-29,13-16,0,5,2,10,5,3,14,34
2020-12-29_uc_riverside_long_beach_st,Long Beach St.,7-13,2-6,0-0,6-15,2-8,5-7,6-13,0-3,5-6,6-13,4-10,3-4,,,,25-54,8-27,13-17,0,9,13,26,11,16,10,20
2020-12-29_uc_riverside_long_beach_st,UC Riverside,5-14,1-4,1-2,8-21,3-9,2-2,8-17,0-6,3-4,5-9,1-4,3-4,,,,26-61,5-23,9-12,0,12,13,36,14,16,17,3
2021-01-01_uc_san_diego_cal_poly,Cal Poly,8-16,3-8,2-2,7-18,6-12,2-2,9-16,2-5,4-5,7-13,6-8,3-4,,,,31-63,17-33,11-13,0,9,0,18,12,0,15,16
2021-01-01_uc_san_diego_cal_poly,UC San Diego,4-12,4-7,3-4,8-17,5-12,6-6,5-17,1-5,3-6,4-14,2-9,2-6,,,,21-60,12-33,14-22,0,21,0,18,2,0,15,38
2021-01-01_cal_st_fullerton_uc_santa_barbara,UC Santa Barbara,6-16,1-8,5-6,5-12,4-8,2-4,7-15,3-7,7-7,10-17,5-7,0-0,,,,28-60,13-30,14-17,0,7,0,26,15,0,29,33
2021-01-01_cal_st_fullerton_uc_santa_barbara,Cal St. Fullerton,8-16,0-2,0-0,4-16,1-4,0-0,8-16,2-5,0-1,4-14,1-7,2-4,,,,24-62,4-18,2-5,1,7,2,26,2,0,5,26
2021-01-01_csu_bakersfield_long_beach_st,Long Beach St.,6-14,3-10,0-0,7-14,1-2,4-4,5-13,1-3,4-5,4-14,0-5,4-7,,,,22-55,5-20,12-16,0,18,4,26,7,6,23,30
2021-01-01_csu_bakersfield_long_beach_st,CSU Bakersfield,5-8,1-4,5-7,5-13,1-6,0-0,5-15,1-5,5-8,5-11,2-7,2-3,,,,20-47,5-22,12-18,0,7,4,22,4,6,22,29
2021-01-02_uc_san_diego_cal_poly,Cal Poly,5-19,0-7,2-2,4-13,2-7,1-2,6-18,0-3,10-11,8-19,1-6,1-1,,,,23-69,3-23,14-16,0,13,4,20,12,3,20,5
2021-01-02_uc_san_diego_cal_poly,UC San Diego,5-13,3-11,2-3,8-15,2-4,3-4,7-14,4-7,2-2,5-9,1-4,7-8,,,,25-51,10-26,14-17,0,7,4,24,2,3,12,24
2021-01-02_cal_st_fullerton_uc_santa_barbara,UC Santa Barbara,5-15,2-9,1-2,8-15,6-6,3-5,9-14,5-7,2-2,7-14,1-4,1-2,,,,29-58,14-26,7-11,0,8,3,26,20,1,12,24
2021-01-02_cal_st_fullerton_uc_santa_barbara,Cal St. Fullerton,4-12,2-4,4-7,3-16,1-7,1-1,6-11,3-5,4-6,8-17,2-6,1-2,,,,21-56,8-22,10-16,0,7,1,22,5,1,12,23
2021-01-02_csu_bakersfield_long_beach_st,Long Beach St.,4-16,1-9,3-7,8-13,2-4,5-6,6-14,1-6,4-5,5-11,2-6,4-6,,,,23-54,6-25,16-24,0,21,3,28,9,9,14,24
2021-01-02_csu_bakersfield_long_beach_st,CSU Bakersfield,7-16,2-6,1-2,7-14,3-6,2-3,4-12,1-4,0-0,5-15,0-5,4-6,,,,23-57,6-21,7-11,0,9,3,20,3,9,12,19
2021-01-08_uc_irvine_uc_riverside,UC Riverside,6-15,2-8,2-4,7-16,1-6,2-2,6-15,1-8,3-6,4-10,1-3,5-6,,,,23-56,5-25,12-18,0,8,0,28,6,0,14,13
2021-01-08_uc_irvine_uc_riverside,UC Irvine,3-11,0-3,0-0,3-14,0-0,3-4,4-14,1-4,1-2,8-19,0-3,4-8,,,,18-58,1-10,8-14,0,5,0,30,10,0,19,16
2021-01-08_long_beach_st_cal_st_fullerton,Cal St. Fullerton,3-9,2-3,6-8,5-17,0-3,0-2,6-18,2-7,0-0,4-10,0-2,4-8,,,,18-54,4-15,10-18,0,13,0,22,2,0,11,13
2021-01-08_long_beach_st_cal_st_fullerton,Long Beach St.,10-17,3-5,1-1,6-17,2-4,2-2,7-15,4-7,1-3,5-17,0-6,0-2,,,,28-66,9-22,4-8,0,9,0,32,9,0,26,22
2021-01-09_uc_irvine_uc_riverside,UC Riverside,6-12,1-3,0-0,4-13,0-5,6-6,4-8,2-4,3-4,8-14,3-6,1-2,,,,22-47,6-18,10-12,0,10,4,22,0,5,10,11
2021-01-09_uc_irvine_uc_riverside,UC Irvine,7-14,1-3,6-6,3-11,0-4,7-11,5-11,1-3,4-8,5-16,1-3,2-2,,,,20-52,3-13,19-27,0,14,4,30,8,5,21,17
2021-01-09_long_beach_st_cal_st_fullerton,Cal St. Fullerton,6-11,1-2,0-2,5-8,2-2,1-2,5-8,1-2,6-8,8-14,2-4,3-8,,,,24-41,6-10,10-20,0,5,3,30,0,6,3,18
2021-01-09_long_beach_st_cal_st_fullerton,Long Beach St.,5-13,1-5,4-5,7-15,0-2,3-4,7-16,1-5,3-4,4-10,0-2,8-13,,,,23-54,2-14,18-26,0,6,3,38,5,6,22,18
2021-01-10_fresno_state_csu_bakersfield,CSU Bakersfield,7-15,1-3,0-0,7-17,2-7,0-0,7-17,1-8,2-2,8-11,6-7,11-15,,,,29-60,10-25,13-17,0,8,2,26,4,6,6,21
2021-01-10_fresno_state_csu_bakersfield,Fresno State,4-15,0-2,2-2,7-15,2-7,6-10,6-19,2-9,0-0,7-20,1-8,8-9,,,,24-69,5-26,16-21,0,17,3,38,8,6,14,12
