game_id,team,q1_fg,q1_3p,q1_ft,q2_fg,q2_3p,q2_ft,q3_fg,q3_3p,q3_ft,q4_fg,q4_3p,q4_ft,ot1_fg,ot1_3p,ot1_ft,total_fg,total_3p,total_ft,technical_fouls,second_chance_pts,scores_tied,pts_in_paint,fast_break_pts,lead_changes,pts_off_turnovers,bench_pts
2022-01-22_uc_riverside_uc_santa_barbara,UC Santa Barbara,3-9,1-6,2-2,5-12,1-3,2-3,2-11,1-5,2-5,5-15,0-4,3-5,,,,15-47,3-18,9-15,0,4,2,20,7,4,15,10
2022-01-22_uc_riverside_uc_santa_barbara,UC Riverside,5-13,1-5,0-0,4-11,1-4,3-4,4-15,3-8,4-4,6-17,1-4,4-8,,,,19-56,6-21,11-16,0,9,2,20,13,4,19,7
2022-01-25_uc_santa_barbara_csun,CSUN,6-15,4-8,0-0,2-10,0-1,3-4,7-13,0-2,1-2,6-19,0-2,4-6,,,,21-57,4-13,8-12,0,9,9,18,2,14,18,3
2022-01-25_uc_santa_barbara_csun,UC Santa Barbara,5-17,1-6,4-5,2-8,1-4,3-5,5-11,1-3,4-4,5-12,0-5,13-13,,,,17-48,3-18,24-27,0,10,9,26,14,14,16,14
2022-01-27_cal_st_fullerton_uc_davis,UC Davis,7-13,3-5,1-2,7-16,1-3,2-4,6-15,0-3,3-3,4-15,2-6,5-8,,,,24-59,6-17,11-17,0,16,1,36,7,2,19,11
2022-01-27_cal_st_fullerton_uc_davis,Cal St. Fullerton,5-13,1-3,2-4,7-13,1-4,6-7,9-16,2-4,2-3,2-11,0-4,9-14,,,,23-53,4-15,19-28,0,12,1,36,6,3,17,11
2022-01-27_uc_santa_barbara_hawaii,Hawaii,2-13,0-5,1-2,6-12,2-7,5-6,4-13,2-6,1-2,6-18,1-5,3-4,,,,18-56,5-23,10-14,0,2,4,22,5,1,12,31
2022-01-27_uc_santa_barbara_hawaii,UC Santa Barbara,7-16,0-4,1-2,3-9,2-5,3-4,7-13,1-4,0-0,6-7,2-2,10-12,,,,23-45,5-15,14-18,0,8,4,26,5,1,5,22
2022-01-27_csu_bakersfield_uc_irvine,UC Irvine,8-15,3-5,2-4,8-14,1-6,0-0,7-14,2-5,10-13,7-13,1-6,2-3,,,,30-56,7-22,14-20,0,14,0,42,13,1,19,21
2022-01-27_csu_bakersfield_uc_irvine,CSU Bakersfield,5-13,1-5,5-7,5-18,1-4,0-0,8-15,1-3,4-6,9-22,0-6,7-10,,,,27-68,3-18,16-23,0,11,0,38,13,1,17,34
2022-01-27_cal_poly_uc_san_diego,UC San Diego,5-17,3-10,2-3,10-22,4-8,0-0,8-14,3-6,0-0,3-13,0-5,5-7,,,,26-66,10-29,7-10,0,12,1,28,6,3,9,24
2022-01-27_cal_poly_uc_san_diego,Cal Poly,5-12,1-1,3-4,7-19,0-4,3-3,7-17,1-5,4-6,3-13,0-4,2-2,,,,22-61,2-14,12-15,0,12,1,28,4,3,8,22
2022-01-27_long_beach_st_uc_riverside,UC Riverside,2-10,0-5,5-7,4-12,1-3,1-3,4-13,1-4,4-6,5-12,2-5,2-3,,,,15-47,4-17,12-19,0,1,0,14,4,0,6,18
2022-01-27_long_beach_st_uc_riverside,Long Beach St.,10-18,1-2,0-0,3-13,0-2,3-4,3-14,0-4,1-3,8-11,2-2,1-1,,,,24-56,3-10,5-8,0,9,0,42,6,0,22,10
2022-01-29_long_beach_st_uc_davis,UC Davis,6-13,3-8,5-7,7-12,1-4,0-0,6-13,3-6,3-4,4-8,0-1,7-12,,,,23-46,7-19,15-23,0,10,0,24,6,0,12,7
2022-01-29_long_beach_st_uc_davis,Long Beach St.,4-15,0-7,0-0,3-14,2-4,1-2,8-21,1-10,0-0,6-15,4-9,8-10,,,,21-65,7-30,9-12,0,10,0,18,3,0,17,2
2022-01-29_csun_hawaii,Hawaii,7-13,1-7,2-2,5-14,1-6,8-9,6-10,1-2,7-7,3-7,2-4,12-18,,,,21-44,5-19,29-36,1,11,6,30,14,4,20,28
