game_id,date,home_team,away_team,home_score,away_score,winner,site_location,home_away_neutral,is_conference_game,season,source_url
2021-10-23_uc_santa_barbara_westcliff,2021-10-23,UC Santa Barbara,Westcliff,83,37,UC Santa Barbara,"The Thunderdome, Isla Vista, CA",home,False,2021-22,https://ucsbgauchos.com/sports/womens-basketball/stats/2021-22/westcliff/boxscore/5254
2021-11-01_uc_santa_barbara_whittier,2021-11-01,UC Santa Barbara,Whittier,71,30,UC Santa Barbara,"The Thunderdome, Isla Vista, CA",home,False,2021-22,https://ucsbgauchos.com/sports/womens-basketball/stats/2021-22/whittier/boxscore/5255
2021-11-03_hawaii_hawaii_pacific,2021-11-03,Hawaii,Hawaii Pacific,86,76,Hawaii,"Honolulu, O‘ahu",home,False,2021-22,https://hawaiiathletics.com/sports/womens-basketball/stats/2021-2022/hpu/boxscore/26750
2021-11-09_uc_davis_academy_of_art,2021-11-09,UC Davis,Academy of Art,69,51,UC Davis,"Davis, Calif.",home,False,2021-22,https://ucdavisaggies.com/sports/womens-basketball/stats/2021-22/academy-of-art/boxscore/19815
2021-11-09_san_diego_hawaii,2021-11-09,San Diego,Hawaii,86,53,San Diego,"San Diego, Calif.",away,False,2021-22,https://hawaiiathletics.com/sports/womens-basketball/stats/2021-2022/san-diego/boxscore/26612
2021-11-09_uc_irvine_westcliff,2021-11-09,UC Irvine,Westcliff,114,53,UC Irvine,"Irvine, Calif.",home,False,2021-22,https://ucirvinesports.com/sports/womens-basketball/stats/2021-22/westcliff-university/boxscore/10727
2021-11-09_uc_santa_barbara_loyola_marymount,2021-11-09,UC Santa Barbara,Loyola Marymount,61,58,UC Santa Barbara,"The Thunderdome, Isla Vista, CA",home,False,2021-22,https://ucsbgauchos.com/sports/womens-basketball/stats/2021-22/loyola-marymount/boxscore/5256
2021-11-09_long_beach_st_biola,2021-11-09,Long Beach St.,Biola,80,61,Long Beach St.,"Long Beach, Calif.",home,False,2021-22,https://longbeachstate.com/sports/womens-basketball/stats/2021-22/biola/boxscore/7235
2021-11-09_arizona_csun,2021-11-09,Arizona,CSUN,87,44,Arizona,"Tucson, Ariz.",away,False,2021-22,https://gomatadors.com/sports/womens-basketball/stats/2021-22/arizona/boxscore/14923
2021-11-09_cal_st_fullerton_southern_utah,2021-11-09,Cal St. Fullerton,Southern Utah,71,69,Cal St. Fullerton,"Fullerton, CA",home,False,2021-22,https://fullertontitans.com/sports/womens-basketball/stats/2021-22/southern-utah-university/boxscore/5943
2021-11-09_csu_bakersfield_bethesda_ca,2021-11-09,CSU Bakersfield,Bethesda (CA),111,19,CSU Bakersfield,"Bakersfield, CA",home,False,2021-22,https://gorunners.com/sports/womens-basketball/stats/2021-22/bethesda/boxscore/8253
2021-11-09_uc_riverside_california_baptist,2021-11-09,UC Riverside,California Baptist,59,62,California Baptist,"Riverside, Calif.",home,False,2021-22,https://gohighlanders.com/sports/womens-basketball/stats/2021-22/california-baptist/boxscore/13208
2021-11-10_santa_clara_cal_poly,2021-11-10,Santa Clara,Cal Poly,91,77,Santa Clara,"Santa Clara, CA",away,False,2021-22,https://gopoly.com/sports/womens-basketball/stats/2021-22/santa-clara/boxscore/5959
2021-11-11_southern_california_hawaii,2021-11-11,Southern California,Hawaii,90,50,Southern California,"Los Angeles, Calif.",away,False,2021-22,https://hawaiiathletics.com/sports/womens-basketball/stats/2021-2022/usc/boxscore/26613
2021-11-11_uc_irvine_southern_utah,2021-11-11,UC Irvine,Southern Utah,81,65,UC Irvine,"Irvine, Calif.",home,False,2021-22,https://ucirvinesports.com/sports/womens-basketball/stats/2021-22/southern-utah/boxscore/10728
2021-11-11_portland_uc_san_diego,2021-11-11,Portland,UC San Diego,91,48,Portland,"Portland, Ore.",away,False,2021-22,https://ucsdtritons.com/sports/womens-basketball/stats/2021-22/portland/boxscore/8502
2021-11-13_uc_davis_saint_marys_ca,2021-11-13,UC Davis,Saint Mary's (CA),50,52,Saint Mary's (CA),"Davis, Calif.",home,False,2021-22,https://ucdavisaggies.com/sports/womens-basketball/stats/2021-22/saint-mary-s/boxscore/19816
2021-11-13_seattle_u_uc_san_diego,2021-11-13,Seattle U,UC San Diego,44,60,UC San Diego,"Seattle, Wash.",away,False,2021-22,https://ucsdtritons.com/sports/womens-basketball/stats/2021-22/seattle/boxscore/8503
2021-11-13_boise_st_long_beach_st,2021-11-13,Boise St.,Long Beach St.,38,61,Long Beach St.,"Boise, Idaho",away,False,2021-22,https://longbeachstate.com/sports/womens-basketball/stats/2021-22/boise-state/boxscore/7236
2021-11-13_utah_st_cal_st_fullerton,2021-11-13,Utah St.,Cal St. Fullerton,85,75,Utah St.,"Logan, UT",away,False,2021-22,https://fullertontitans.com/sports/womens-basketball/stats/2021-22/utah-state/boxscore/3341
2021-11-13_pacific_uc_riverside,2021-11-13,Pacific,UC Riverside,67,75,UC Riverside,"Stockton, Calif.",away,False,2021-22,https://gohighlanders.com/sports/womens-basketball/stats/2021-22/pacific/boxscore/13209
2021-11-14_uc_irvine_san_diego_st,2021-11-14,UC Irvine,San Diego St.,60,68,San Diego St.,"Irvine, Calif.",home,False,2021-22,https://ucirvinesports.com/sports/womens-basketball/stats/2021-22/san-diego-state/boxscore/10729
2021-11-14_northwestern_uc_santa_barbara,2021-11-14,Northwestern,UC Santa Barbara,72,46,Northwestern,"Evanston, Ill.",away,False,2021-22,https://ucsbgauchos.com/sports/womens-basketball/stats/2021-22/northwestern-university/boxscore/5257
2021-11-15_csun_cal_st_dom_hills,2021-11-15,CSUN,Cal St. Dom. Hills,72,67,CSUN,"Northridge, Calif.",home,False,2021-22,https://gomatadors.com/sports/womens-basketball/stats/2021-22/cal-state-dominguez-hills/boxscore/14924
2021-11-16_cal_st_fullerton_san_diego_st,2021-11-16,Cal St. Fullerton,San Diego St.,60,56,Cal St. Fullerton,"Fullerton, CA",home,False,2021-22,https://fullertontitans.com/sports/womens-basketball/stats/2021-22/san-diego-state-university/boxscore/3342
2021-11-16_uc_riverside_cal_lutheran,2021-11-16,UC Riverside,Cal Lutheran,79,36,UC Riverside,"Riverside, Calif.",home,False,2021-22,https://gohighlanders.com/sports/womens-basketball/stats/2021-22/california-lutheran-university/boxscore/13276
2021-11-17_uc_san_diego_westcliff,2021-11-17,UC San Diego,Westcliff,91,32,UC San Diego,"La Jolla, Calif.",home,False,2021-22,https://ucsdtritons.com/sports/womens-basketball/stats/2021-22/westcliff/boxscore/8504
2021-11-17_pacific_csu_bakersfield,2021-11-17,Pacific,CSU Bakersfield,78,65,Pacific,"Stockton, CA",away,False,2021-22,https://gorunners.com/sports/womens-basketball/stats/2021-22/pacific/boxscore/8254
2021-11-18_san_francisco_uc_davis,2021-11-18,San Francisco,UC Davis,73,46,San Francisco,"San Francisco, Calif.",away,False,2021-22,https://ucdavisaggies.com/sports/womens-basketball/stats/2021-22/san-francisco/boxscore/19817
2021-11-18_long_beach_st_seattle_u,2021-11-18,Long Beach St.,Seattle U,86,63,Long Beach St.,"Long Beach, Calif.",home,False,2021-22,https://longbeachstate.com/sports/womens-basketball/stats/2021-22/seattle/boxscore/7237
2021-11-18_ucla_csun,2021-11-18,UCLA,CSUN,73,46,UCLA,"Los Angeles, Calif.",away,False,2021-22,https://gomatadors.com/sports/womens-basketball/stats/2021-22/ucla/boxscore/14925
2021-11-19_hawaii_portland,2021-11-19,Hawaii,Portland,77,91,Portland,"Honolulu, O‘ahu",home,False,2021-22,https://hawaiiathletics.com/sports/womens-basketball/stats/2021-2022/portland/boxscore/26614
2021-11-20_california_baptist_uc_irvine,2021-11-20,California Baptist,UC Irvine,93,88,California Baptist,"Riverside, Calif.",away,False,2021-22,https://ucirvinesports.com/sports/womens-basketball/stats/2021-22/california-baptist/boxscore/10730
2021-11-20_uc_san_diego_california,2021-11-20,UC San Diego,California,54,64,California,"La Jolla, Calif.",home,False,2021-22,https://ucsdtritons.com/sports/womens-basketball/stats/2021-22/cal/boxscore/8505
2021-11-20_pepperdine_uc_santa_barbara,2021-11-20,Pepperdine,UC Santa Barbara,63,74,UC Santa Barbara,"Firestone Fieldhouse, Malibu, CA",away,False,2021-22,https://ucsbgauchos.com/sports/womens-basketball/stats/2021-22/pepperdine/boxscore/5258
2021-11-20_air_force_cal_st_fullerton,2021-11-20,Air Force,Cal St. Fullerton,67,59,Air Force,"U.S. Air Force Academy, CO",away,False,2021-22,https://fullertontitans.com/sports/womens-basketball/stats/2021-22/air-force/boxscore/3343
2021-11-20_oregon_st_csu_bakersfield,2021-11-20,Oregon St.,CSU Bakersfield,82,51,Oregon St.,"Corvallis, OR",away,False,2021-22,https://gorunners.com/sports/womens-basketball/stats/2021-22/oregon-state/boxscore/8255
2021-11-21_hawaii_portland_st,2021-11-21,Hawaii,Portland St.,71,68,Hawaii,"Honolulu, O‘ahu",home,False,2021-22,https://hawaiiathletics.com/sports/womens-basketball/stats/2021-2022/portland-state/boxscore/26615
2021-11-21_long_beach_st_santa_clara,2021-11-21,Long Beach St.,Santa Clara,66,50,Long Beach St.,"Long Beach, Calif.",home,False,2021-22,https://longbeachstate.com/sports/womens-basketball/stats/2021-22/santa-clara/boxscore/7238
2021-11-21_illinois_uc_riverside,2021-11-21,Illinois,UC Riverside,86,82,Illinois,"Urbana-Champaign, Ill.",away,False,2021-22,https://gohighlanders.com/sports/womens-basketball/stats/2021-22/illinois/boxscore/13211
2021-11-23_sacramento_st_uc_davis,2021-11-23,Sacramento St.,UC Davis,46,75,UC Davis,"Sacramento, Calif.",away,False,2021-22,https://ucdavisaggies.com/sports/womens-basketball/stats/2021-22/sacramento-state/boxscore/19818
2021-11-23_cal_poly_louisville,2021-11-23,Cal Poly,Louisville,32,72,Louisville,"San Luis Obispo, Calif.",home,False,2021-22,https://gopoly.com/sports/womens-basketball/stats/2021-22/louisville/boxscore/5960
2021-11-23_fresno_st_csun,2021-11-23,Fresno St.,CSUN,75,81,CSUN,"Fresno, Calif.",away,False,2021-22,https://gomatadors.com/sports/womens-basketball/stats/2021-22/fresno-state/boxscore/14926
2021-11-23_cal_st_fullerton_virginia,2021-11-23,Cal St. Fullerton,Virginia,48,60,Virginia,"Titan Gym, Fullerton, CA",home,False,2021-22,https://fullertontitans.com/sports/womens-basketball/stats/2021-22/virginia-tech/boxscore/3344
2021-11-26_uc_davis_weber_st,2021-11-26,UC Davis,Weber St.,62,54,UC Davis,"Davis, Calif.",home,False,2021-22,https://ucdavisaggies.com/sports/womens-basketball/stats/2021-22/weber-state/boxscore/19819
2021-11-26_hawaii_eastern_ill,2021-11-26,Hawaii,Eastern Ill.,71,50,Hawaii,"Honolulu, O‘ahu",home,False,2021-22,https://hawaiiathletics.com/sports/womens-basketball/stats/2021-2022/eastern-illinois/boxscore/26616
2021-11-26_uc_irvine_illinois_st,2021-11-26,UC Irvine,Illinois St.,67,55,UC Irvine,"Irvine, Calif.",home,False,2021-22,https://ucirvinesports.com/sports/womens-basketball/stats/2021-22/illinois-state/boxscore/10731
2021-11-26_penn_uc_san_diego,2021-11-26,Penn,UC San Diego,60,55,Penn,"Los Angeles, Calif.",neutral,False,2021-22,https://ucsdtritons.com/sports/womens-basketball/stats/2021-22/penn/boxscore/8506
2021-11-26_california_baptist_uc_santa_barbara,2021-11-26,California Baptist,UC Santa Barbara,68,56,California Baptist,"UCU Pavilion, Moraga, CA",neutral,False,2021-22,https://ucsbgauchos.com/sports/womens-basketball/stats/2021-22/california-baptist/boxscore/5259
2021-11-26_cal_poly_st_thomas_mn,2021-11-26,Cal Poly,St. Thomas (MN),63,51,Cal Poly,"San Luis Obispo, Calif.",home,False,2021-22,https://gopoly.com/sports/womens-basketball/stats/2021-22/university-of-st-thomas/boxscore/5961
2021-11-26_richmond_long_beach_st,2021-11-26,Richmond,Long Beach St.,44,52,Long Beach St.,"Charlottesville, Va.",neutral,False,2021-22,https://longbeachstate.com/sports/womens-basketball/stats/2021-22/richmond/boxscore/7239
2021-11-27_hawaii_utah,2021-11-27,Hawaii,Utah,57,73,Utah,"Honolulu, O‘ahu",home,False,2021-22,https://hawaiiathletics.com/sports/womens-basketball/stats/2021-2022/utah/boxscore/26617
2021-11-27_loyola_marymount_uc_san_diego,2021-11-27,Loyola Marymount,UC San Diego,51,44,Loyola Marymount,"Los Angeles, Calif.",away,False,2021-22,https://ucsdtritons.com/sports/womens-basketball/stats/2021-22/loyola-marymount/boxscore/8507
2021-11-27_saint_marys_ca_uc_santa_barbara,2021-11-27,Saint Mary's (CA),UC Santa Barbara,68,45,Saint Mary's (CA),"UCU Pavilion, Moraga, CA",away,False,2021-22,https://ucsbgauchos.com/sports/womens-basketball/stats/2021-22/saint-marys-ca-/boxscore/5260
2021-11-27_cal_poly_montana_st,2021-11-27,Cal Poly,Montana St.,55,67,Montana St.,"San Luis Obispo, Calif.",home,False,2021-22,https://gopoly.com/sports/womens-basketball/stats/2021-22/montana-state/boxscore/5962
2021-11-27_texas_csun,2021-11-27,Texas,CSUN,83,42,Texas,"Austin, Texas",away,False,2021-22,https://gomatadors.com/sports/womens-basketball/stats/2021-22/texas/boxscore/14953
