game_id,team,q1_fg,q1_3p,q1_ft,q2_fg,q2_3p,q2_ft,q3_fg,q3_3p,q3_ft,q4_fg,q4_3p,q4_ft,ot1_fg,ot1_3p,ot1_ft,ot2_fg,ot2_3p,ot2_ft,total_fg,total_3p,total_ft,technical_fouls,second_chance_pts,scores_tied,pts_in_paint,fast_break_pts,lead_changes,pts_off_turnovers,bench_pts
2024-12-29_cal_st_fullerton_bethesda_ca,Cal St. Fullerton,9-16,0-2,0-0,11-20,3-7,6-9,7-18,1-7,6-8,10-17,3-7,7-9,,,,,,,37-71,7-23,19-26,0,15,1,40,22,1,37,40
2024-12-29_csu_bakersfield_seattle_u,Seattle U,7-19,3-7,0-0,4-16,1-5,7-10,5-16,3-8,0-0,4-11,2-6,2-2,,,,,,,20-62,9-26,9-12,0,3,8,14,4,13,10,7
2024-12-29_csu_bakersfield_seattle_u,CSU Bakersfield,8-13,3-6,1-2,4-14,0-6,6-8,5-18,3-9,0-0,1-12,0-4,0-0,,,,,,,18-57,6-25,7-10,0,3,8,18,7,13,6,11
2024-12-30_long_beach_st_bethesda_ca,Bethesda (CA),4-11,2-3,5-8,1-15,0-7,4-7,4-20,1-7,5-6,5-17,1-3,3-5,,,,,,,14-63,4-20,17-26,2,5,0,18,0,0,7,19
2024-12-30_long_beach_st_bethesda_ca,Long Beach St.,12-24,3-7,4-6,9-25,2-7,5-6,14-20,2-4,16-24,9-20,0-4,2-2,,,,,,,44-89,7-22,27-38,1,29,0,66,33,0,48,41
2025-01-02_uc_davis_csu_bakersfield,CSU Bakersfield,2-14,0-5,0-2,4-12,3-5,2-4,5-18,1-5,2-3,2-15,0-2,3-6,,,,,,,13-59,4-17,7-15,0,6,0,12,0,0,5,20
2025-01-02_uc_davis_csu_bakersfield,UC Davis,9-18,3-9,1-2,9-19,5-9,2-2,7-12,4-7,2-2,4-11,1-6,5-11,,,,,,,29-60,13-31,10-17,0,11,0,32,13,0,19,32
2025-01-02_uc_santa_barbara_hawaii,Hawaii,6-12,1-3,0-0,3-7,1-2,7-8,4-11,1-4,5-7,7-16,0-4,7-7,,,,,,,20-46,3-13,19-22,0,9,5,32,5,4,12,23
2025-01-02_uc_santa_barbara_hawaii,UC Santa Barbara,6-20,1-11,5-5,6-11,4-6,3-3,6-10,4-5,0-0,3-10,1-4,12-15,,,,,,,21-51,10-26,20-23,0,14,5,16,13,4,8,33
2025-01-02_uc_irvine_cal_poly,Cal Poly,4-12,0-5,2-2,2-10,1-1,1-2,3-14,3-6,4-4,4-16,1-5,0-0,,,,,,,13-52,5-17,7-8,0,7,1,12,3,0,15,7
2025-01-02_uc_irvine_cal_poly,UC Irvine,7-17,2-5,4-4,7-15,2-7,4-4,6-16,1-7,1-2,3-10,0-2,0-0,,,,,,,23-58,5-21,9-10,0,15,1,28,0,0,20,19
2025-01-02_uc_riverside_long_beach_st,Long Beach St.,3-16,0-5,4-4,6-13,1-4,4-5,8-17,2-7,3-7,6-14,1-3,2-4,,,,,,,23-60,4-19,13-20,0,11,4,30,12,1,20,16
2025-01-02_uc_riverside_long_beach_st,UC Riverside,6-17,0-6,3-4,4-19,1-6,0-2,7-15,3-8,1-2,2-13,0-3,2-4,,,,,,,19-64,4-23,6-12,0,14,4,26,5,1,7,13
2025-01-02_csun_cal_st_fullerton,Cal St. Fullerton,7-16,3-5,2-4,8-13,2-3,4-7,7-19,2-4,2-3,4-15,0-7,6-14,,,,,,,26-63,7-19,14-28,1,9,2,24,7,1,19,21
2025-01-02_csun_cal_st_fullerton,CSUN,6-13,0-3,0-0,6-16,2-5,4-6,6-17,1-8,2-2,8-17,4-12,8-11,,,,,,,26-63,7-28,14-19,0,17,2,32,4,1,6,12
2025-01-04_uc_davis_csun,CSUN,4-20,1-2,0-0,2-16,2-8,2-4,4-17,3-6,0-0,5-16,2-8,1-2,,,,,,,15-69,8-24,3-6,0,8,1,14,7,2,13,12
2025-01-04_uc_davis_csun,UC Davis,4-15,3-8,4-8,7-15,3-5,1-1,8-18,5-8,2-2,3-11,0-6,6-7,,,,,,,22-59,11-27,13-18,0,10,1,22,4,2,10,29
2025-01-04_cal_poly_hawaii,Hawaii,6-14,1-7,0-0,5-10,3-5,6-7,4-12,2-4,2-2,3-9,0-2,12-17,,,,,,,18-45,6-18,20-26,0,5,2,16,11,4,8,22
2025-01-04_cal_poly_hawaii,Cal Poly,6-15,4-8,0-0,2-15,0-6,1-2,4-11,0-4,4-4,6-17,1-7,4-5,,,,,,,18-58,5-25,9-11,1,4,2,20,5,4,13,11
2025-01-04_uc_riverside_uc_irvine,UC Irvine,3-15,1-5,2-4,6-12,1-4,1-2,7-13,1-3,1-3,4-13,1-7,6-9,,,,,,,20-53,4-19,10-18,0,4,0,24,8,0,18,13
2025-01-04_uc_riverside_uc_irvine,UC Riverside,10-14,1-2,0-0,7-13,2-5,0-0,4-12,1-6,2-4,3-9,1-3,4-8,,,,,,,24-48,5-16,6-12,0,8,0,18,3,0,16,9
2025-01-04_uc_san_diego_cal_st_fullerton,Cal St. Fullerton,4-14,0-2,3-3,7-16,3-6,2-2,3-15,0-4,0-1,3-13,1-7,2-2,,,,,,,17-58,4-19,7-8,0,6,3,24,4,2,9,10
2025-01-04_uc_san_diego_cal_st_fullerton,UC San Diego,8-17,0-4,1-2,4-12,1-4,2-3,7-13,1-5,1-4,4-9,0-0,5-6,,,,,,,23-51,2-13,9-15,0,6,3,36,6,2,11,14
2025-01-04_long_beach_st_csu_bakersfield,CSU Bakersfield,4-15,0-6,2-2,5-19,1-5,0-3,7-16,3-5,0-2,2-16,1-7,0-0,,,,,,,18-66,5-23,2-7,0,8,1,22,0,2,18,13
2025-01-04_long_beach_st_csu_bakersfield,Long Beach St.,4-13,2-7,12-12,8-19,2-6,1-2,2-16,1-5,5-8,1-10,0-2,5-8,,,,,,,15-58,5-20,23-30,0,12,1,20,2,2,16,22
2025-01-09_cal_st_fullerton_uc_davis,UC Davis,6-14,1-5,4-4,11-16,2-3,0-0,7-15,2-6,2-2,8-14,2-6,3-4,,,,,,,32-59,7-20,9-10,0,8,0,50,15,0,13,31
2025-01-09_cal_st_fullerton_uc_davis,Cal St. Fullerton,2-13,0-3,8-9,3-16,0-4,0-1,6-13,0-2,8-9,5-13,3-3,3-4,,,,,,,16-55,3-12,19-23,0,4,0,24,6,0,18,16
2025-01-09_hawaii_uc_riverside,UC Riverside,5-9,3-3,2-3,3-10,2-7,0-0,5-15,0-6,1-2,5-20,3-10,0-0,,,,,,,18-54,8-26,3-5,0,9,2,20,9,5,19,25
2025-01-09_hawaii_uc_riverside,Hawaii,4-13,2-5,0-1,7-16,4-7,4-4,6-15,1-4,5-7,4-8,2-4,1-2,,,,,,,21-52,9-20,10-14,0,9,2,22,4,5,19,25
2025-01-09_uc_irvine_csun,CSUN,1-12,1-7,1-2,8-12,4-4,0-2,1-8,1-6,2-4,3-12,2-6,2-2,,,,,,,13-44,8-23,5-10,0,6,0,10,0,0,12,12
2025-01-09_uc_irvine_csun,UC Irvine,7-19,2-7,4-4,5-16,1-7,4-4,8-15,5-7,0-0,6-18,0-8,0-0,,,,,,,26-68,8-29,8-8,0,19,0,28,2,0,29,24
2025-01-09_cal_poly_uc_san_diego,UC San Diego,2-14,1-4,3-6,6-17,2-8,3-4,8-15,0-4,0-0,6-15,2-4,1-7,,,,,,,22-61,5-20,7-17,0,8,7,26,13,18,20,13
2025-01-09_cal_poly_uc_san_diego,Cal Poly,5-12,2-4,0-0,5-13,2-5,2-5,6-15,2-4,0-0,7-10,3-4,4-4,,,,,,,23-50,9-17,6-9,0,13,7,26,7,18,8,2
2025-01-09_csu_bakersfield_uc_santa_barbara,UC Santa Barbara,6-11,1-2,2-3,4-12,3-8,2-2,4-13,2-7,4-4,5-11,1-5,8-11,,,,,,,19-47,7-22,16-20,0,7,0,16,5,0,11,17
2025-01-09_csu_bakersfield_uc_santa_barbara,CSU Bakersfield,4-9,2-4,0-0,1-10,0-3,5-8,6-14,0-3,2-2,8-14,2-2,8-9,,,,,,,19-47,4-12,15-19,0,6,0,26,2,0,12,16
2025-01-11_long_beach_st_uc_davis,UC Davis,6-15,4-9,3-4,1-14,0-8,1-2,4-17,1-5,5-6,6-14,3-8,9-12,,,,,,,17-60,8-30,18-24,0,11,0,16,6,0,14,23
2025-01-11_long_beach_st_uc_davis,Long Beach St.,7-14,3-5,5-6,5-15,1-2,2-3,8-17,0-3,3-4,7-13,1-2,4-6,,,,,,,27-59,5-12,14-19,0,7,0,32,10,0,21,12
2025-01-11_hawaii_cal_st_fullerton,Cal St. Fullerton,3-12,0-5,0-0,2-11,1-2,2-2,3-10,0-2,0-0,7-13,4-7,7-10,,,,,,,15-46,5-16,9-12,0,4,2,20,10,1,11,6
2025-01-11_hawaii_cal_st_fullerton,Hawaii,1-7,0-4,2-2,7-17,3-7,1-2,6-16,0-7,2-2,3-8,0-1,12-14,,,,,,,17-48,3-19,17-20,0,6,2,24,5,1,14,21
2025-01-11_uc_irvine_uc_san_diego,UC San Diego,4-11,3-3,3-4,6-13,1-3,0-0,7-12,5-7,4-6,6-17,4-11,0-0,,,,,,,23-53,13-24,7-10,0,10,9,16,2,13,13,8
2025-01-11_uc_irvine_uc_san_diego,UC Irvine,4-15,0-7,7-7,5-13,2-4,0-0,10-18,2-6,2-3,6-11,2-4,8-12,,,,,,,25-57,6-21,17-22,0,22,9,32,0,13,19,20
2025-01-11_uc_santa_barbara_cal_poly,Cal Poly,5-12,2-7,1-2,5-14,2-5,2-4,3-11,1-5,7-9,3-11,2-5,2-3,,,,,,,16-48,7-22,12-18,0,9,8,18,4,7,6,3
2025-01-11_uc_santa_barbara_cal_poly,UC Santa Barbara,5-14,0-1,5-5,5-17,2-7,0-0,4-13,3-8,2-2,4-14,2-5,0-0,,,,,,,18-58,7-21,7-7,0,12,8,18,5,7,15,16
2025-01-11_csun_csu_bakersfield,CSU Bakersfield,7-21,2-8,2-2,4-12,1-5,1-2,3-15,2-10,2-2,8-13,3-5,5-8,,,,,,,22-61,8-28,10-14,0,6,7,24,18,6,16,21
2025-01-11_csun_csu_bakersfield,CSUN,6-21,2-7,2-4,6-12,1-5,3-3,3-15,0-3,3-6,7-14,1-4,0-0,,,,,,,22-62,4-19,8-13,0,6,7,32,8,6,10,13
2025-01-16_uc_davis_cal_poly,Cal Poly,5-12,3-5,0-0,7-16,3-9,2-2,1-15,0-4,6-6,4-15,1-4,2-2,,,,,,,17-58,7-22,10-10,0,4,0,20,7,2,12,12
2025-01-16_uc_davis_cal_poly,UC Davis,6-11,1-5,3-4,6-13,2-7,3-4,6-11,1-5,2-4,7-13,0-1,1-3,,,,,,,25-48,4-18,9-15,0,5,0,38,10,2,12,9
2025-01-16_csun_hawaii,Hawaii,7-15,5-10,0-0,10-18,3-8,3-3,4-15,0-8,7-8,6-14,1-5,2-2,,,,,,,27-62,9-31,12-13,0,6,1,28,9,0,16,30
2025-01-16_csun_hawaii,CSUN,5-16,2-9,2-2,4-16,2-8,0-0,4-13,3-9,0-0,3-13,1-6,5-8,,,,,,,16-58,8-32,7-10,0,12,1,16,4,0,9,12
2025-01-16_cal_st_fullerton_uc_irvine,UC Irvine,6-14,2-6,5-5,5-10,0-2,7-8,8-15,3-6,6-6,4-10,3-8,7-10,,,,,,,23-49,8-22,25-29,0,16,1,24,2,3,24,28
2025-01-16_cal_st_fullerton_uc_irvine,Cal St. Fullerton,3-14,0-3,5-8,5-14,2-4,5-6,4-14,0-1,1-1,9-17,4-6,4-5,,,,,,,21-59,6-14,15-20,0,19,1,26,2,3,14,17
2025-01-16_uc_san_diego_long_beach_st,Long Beach St.,6-15,1-5,1-3,4-13,0-4,3-7,6-13,2-4,5-7,8-18,4-10,4-5,,,,,,,24-59,7-23,13-22,0,15,0,30,10,0,8,5
2025-01-16_uc_san_diego_long_beach_st,UC San Diego,6-20,0-4,5-6,5-14,2-8,5-6,8-20,2-7,3-6,8-15,4-6,4-6,,,,,,,27-69,8-25,17-24,0,20,0,36,18,0,19,22
2025-01-16_uc_riverside_uc_santa_barbara,UC Santa Barbara,6-13,3-8,2-2,2-7,0-3,1-1,4-11,1-4,1-2,5-11,2-5,8-9,,,,,,,17-42,6-20,12-14,0,12,4,18,4,2,13,15
