game_id,date,home_team,away_team,home_score,away_score,winner,site_location,home_away_neutral,is_conference_game,season,source_url
2024-10-27_hawaii_hilo_hawaii,2024-10-27,Hawaii Hilo,Hawaii,50,69,Hawaii,"Hilo, Hawai‘i",away,False,2024-25,https://hawaiiathletics.com/sports/womens-basketball/stats/2024-2025/hawai-i-hilo-exhibition-/boxscore/29456
2024-10-30_cal_poly_sonoma_st,2024-10-30,Cal Poly,Sonoma St.,57,46,Cal Poly,"San Luis Obispo, Calif.",home,False,2024-25,https://gopoly.com/sports/womens-basketball/stats/2024-25/sonoma-state-university-exhibition-/boxscore/8529
2024-11-02_hawaii_chaminade,2024-11-02,Hawaii,Chaminade,73,31,Hawaii,"Pukalani, Maui",neutral,False,2024-25,https://hawaiiathletics.com/sports/womens-basketball/stats/2024-2025/chaminade-exhibition-/boxscore/29458
2024-11-04_uc_davis_simpson_ca,2024-11-04,UC Davis,Simpson (CA),93,36,UC Davis,"Davis, Calif.",home,False,2024-25,https://ucdavisaggies.com/sports/womens-basketball/stats/2024-25/simpson/boxscore/27882
2024-11-04_uc_irvine_new_mexico_st,2024-11-04,UC Irvine,New Mexico St.,49,57,New Mexico St.,"Irvine, Calif.",home,False,2024-25,https://ucirvinesports.com/sports/womens-basketball/stats/2024-25/new-mexico-state/boxscore/13069
2024-11-04_uc_san_diego_occidental,2024-11-04,UC San Diego,Occidental,86,51,UC San Diego,"La Jolla, Calif.",home,False,2024-25,https://ucsdtritons.com/sports/womens-basketball/stats/2024-25/occidental/boxscore/10209
2024-11-04_csun_la_sierra,2024-11-04,CSUN,La Sierra,70,56,CSUN,"Northridge, Calif.",home,False,2024-25,https://gomatadors.com/sports/womens-basketball/stats/2024-25/la-sierra/boxscore/16681
2024-11-04_pepperdine_cal_st_fullerton,2024-11-04,Pepperdine,Cal St. Fullerton,59,57,Pepperdine,"Malibu, CA",away,False,2024-25,https://fullertontitans.com/sports/womens-basketball/stats/2024-25/pepperdine-university/boxscore/7028
2024-11-04_grand_canyon_csu_bakersfield,2024-11-04,Grand Canyon,CSU Bakersfield,93,52,Grand Canyon,"Phoenix, AZ",away,False,2024-25,https://gorunners.com/sports/womens-basketball/stats/2024-25/gcu/boxscore/10510
2024-11-04_santa_clara_uc_riverside,2024-11-04,Santa Clara,UC Riverside,73,60,Santa Clara,"Santa Clara, Calif.",away,False,2024-25,https://gohighlanders.com/sports/womens-basketball/stats/2024-25/santa-clara/boxscore/14542
2024-11-06_uc_santa_barbara_claremont_m_s,2024-11-06,UC Santa Barbara,Claremont-M-S,70,26,UC Santa Barbara,"Santa Barbara, Calif.",home,False,2024-25,https://ucsbgauchos.com/sports/womens-basketball/stats/2024-25/claremont-mudd-scripps/boxscore/11654
2024-11-06_cal_poly_uc_merced,2024-11-06,Cal Poly,UC Merced,72,40,Cal Poly,"San Luis Obispo, Calif.",home,False,2024-25,https://gopoly.com/sports/womens-basketball/stats/2024-25/uc-merced/boxscore/8530
2024-11-06_long_beach_st_cal_state_la,2024-11-06,Long Beach St.,Cal State LA,77,67,Long Beach St.,"Long Beach, Calif.",home,False,2024-25,https://longbeachstate.com/sports/womens-basketball/stats/2024-25/cal-state-la/boxscore/9235
2024-11-07_portland_hawaii,2024-11-07,Portland,Hawaii,76,65,Portland,"Portland, Ore.",away,False,2024-25,https://hawaiiathletics.com/sports/womens-basketball/stats/2024-2025/portland/boxscore/29459
2024-11-07_uc_irvine_pepperdine,2024-11-07,UC Irvine,Pepperdine,65,56,UC Irvine,"Irvine, Calif.",home,False,2024-25,https://ucirvinesports.com/sports/womens-basketball/stats/2024-25/pepperdine/boxscore/13070
2024-11-07_sacramento_st_uc_san_diego,2024-11-07,Sacramento St.,UC San Diego,71,60,Sacramento St.,"Sacramento, Calif.",away,False,2024-25,https://ucsdtritons.com/sports/womens-basketball/stats/2024-25/sacramento-state/boxscore/10210
2024-11-08_uc_davis_san_diego_st,2024-11-08,UC Davis,San Diego St.,77,83,San Diego St.,"Davis, Calif.",home,False,2024-25,https://ucdavisaggies.com/sports/womens-basketball/stats/2024-25/san-diego-state/boxscore/27883
2024-11-08_utah_st_csun,2024-11-08,Utah St.,CSUN,65,69,CSUN,"Logan, Utah",away,False,2024-25,https://gomatadors.com/sports/womens-basketball/stats/2024-25/utah-state/boxscore/16680
2024-11-08_fordham_cal_st_fullerton,2024-11-08,Fordham,Cal St. Fullerton,66,51,Fordham,"New York, NY",away,False,2024-25,https://fullertontitans.com/sports/womens-basketball/stats/2024-25/fordham-university/boxscore/7029
2024-11-08_csu_bakersfield_colgate,2024-11-08,CSU Bakersfield,Colgate,42,71,Colgate,"Bakersfield, CA",home,False,2024-25,https://gorunners.com/sports/womens-basketball/stats/2024-25/colgate/boxscore/10511
2024-11-08_uc_riverside_whittier,2024-11-08,UC Riverside,Whittier,84,45,UC Riverside,"Riverside, Calif.",home,False,2024-25,https://gohighlanders.com/sports/womens-basketball/stats/2024-25/whittier/boxscore/14543
2024-11-09_portland_st_hawaii,2024-11-09,Portland St.,Hawaii,50,72,Hawaii,"Portland, Ore.",away,False,2024-25,https://hawaiiathletics.com/sports/womens-basketball/stats/2024-2025/portland-state/boxscore/29460
2024-11-09_san_francisco_uc_santa_barbara,2024-11-09,San Francisco,UC Santa Barbara,59,37,San Francisco,"San Francisco, Calif.",away,False,2024-25,https://ucsbgauchos.com/sports/womens-basketball/stats/2024-25/university-of-san-francisco/boxscore/11655
2024-11-09_southern_california_cal_poly,2024-11-09,Southern California,Cal Poly,90,35,Southern California,"Los Angeles, CA",away,False,2024-25,https://gopoly.com/sports/womens-basketball/stats/2024-25/no-3-usc/boxscore/8531
2024-11-09_long_beach_st_william_mary,2024-11-09,Long Beach St.,William & Mary,67,65,Long Beach St.,"Long Beach, Calif.",home,False,2024-25,https://longbeachstate.com/sports/womens-basketball/stats/2024-25/william-mary/boxscore/9236
2024-11-10_uc_san_diego_arizona,2024-11-10,UC San Diego,Arizona,54,65,Arizona,"La Jolla, Calif.",home,False,2024-25,https://ucsdtritons.com/sports/womens-basketball/stats/2024-25/arizona/boxscore/10211
2024-11-10_liu_cal_st_fullerton,2024-11-10,LIU,Cal St. Fullerton,63,52,LIU,"Brooklyn, NY",away,False,2024-25,https://fullertontitans.com/sports/womens-basketball/stats/2024-25/liu/boxscore/7030
2024-11-11_uc_irvine_william_mary,2024-11-11,UC Irvine,William & Mary,72,55,UC Irvine,"Irvine, Calif.",home,False,2024-25,https://ucirvinesports.com/sports/womens-basketball/stats/2024-25/william-mary/boxscore/13071
2024-11-11_fresno_st_uc_riverside,2024-11-11,Fresno St.,UC Riverside,63,53,Fresno St.,"Fresno, Calif.",away,False,2024-25,https://gohighlanders.com/sports/womens-basketball/stats/2024-25/fresno-state/boxscore/14544
2024-11-12_montana_st_cal_poly,2024-11-12,Montana St.,Cal Poly,75,57,Montana St.,"Bozeman, Mont.",away,False,2024-25,https://gopoly.com/sports/womens-basketball/stats/2024-25/montana-state/boxscore/8532
2024-11-12_southern_california_csun,2024-11-12,Southern California,CSUN,124,39,Southern California,"Los Angeles, Calif.",away,False,2024-25,https://gomatadors.com/sports/womens-basketball/stats/2024-25/-3-usc/boxscore/16679
2024-11-13_stanford_uc_davis,2024-11-13,Stanford,UC Davis,69,56,Stanford,"Stanford, Calif.",away,False,2024-25,https://ucdavisaggies.com/sports/womens-basketball/stats/2024-25/no-24-stanford/boxscore/27884
2024-11-14_uc_san_diego_saint_marys_ca,2024-11-14,UC San Diego,Saint Mary's (CA),65,74,Saint Mary's (CA),"La Jolla, Calif.",home,False,2024-25,https://ucsdtritons.com/sports/womens-basketball/stats/2024-25/saint-mary-s/boxscore/10212
2024-11-14_uc_santa_barbara_nevada,2024-11-14,UC Santa Barbara,Nevada,73,80,Nevada,"Santa Barbara, Calif.",home,False,2024-25,https://ucsbgauchos.com/sports/womens-basketball/stats/2024-25/university-of-nevada/boxscore/11656
2024-11-14_montana_cal_poly,2024-11-14,Montana,Cal Poly,55,65,Cal Poly,"Missoula, Mont.",away,False,2024-25,https://gopoly.com/sports/womens-basketball/stats/2024-25/montana/boxscore/8533
2024-11-14_cal_st_fullerton_sacramento_st,2024-11-14,Cal St. Fullerton,Sacramento St.,40,67,Sacramento St.,"Fullerton, Calif.",home,False,2024-25,https://fullertontitans.com/sports/womens-basketball/stats/2024-25/sacramento-state/boxscore/7031
2024-11-14_utah_st_csu_bakersfield,2024-11-14,Utah St.,CSU Bakersfield,67,51,Utah St.,"Logan, UT",away,False,2024-25,https://gorunners.com/sports/womens-basketball/stats/2024-25/utah-state/boxscore/10512
2024-11-14_boise_st_uc_riverside,2024-11-14,Boise St.,UC Riverside,72,57,Boise St.,"Boise, Idaho",away,False,2024-25,https://gohighlanders.com/sports/womens-basketball/stats/2024-25/boise-state/boxscore/14545
2024-11-15_pacific_long_beach_st,2024-11-15,Pacific,Long Beach St.,81,65,Pacific,"Stockton, Calif.",away,False,2024-25,https://longbeachstate.com/sports/womens-basketball/stats/2024-25/pacific/boxscore/9237
2024-11-16_uc_irvine_saint_marys_ca,2024-11-16,UC Irvine,Saint Mary's (CA),64,61,UC Irvine,"Irvine, Calif.",home,False,2024-25,https://ucirvinesports.com/sports/womens-basketball/stats/2024-25/saint-mary-s/boxscore/13072
2024-11-16_utah_valley_csu_bakersfield,2024-11-16,Utah Valley,CSU Bakersfield,72,48,Utah Valley,"Orem, UT",away,False,2024-25,https://gorunners.com/sports/womens-basketball/stats/2024-25/utah-valley/boxscore/10513
2024-11-17_montana_st_uc_davis,2024-11-17,Montana St.,UC Davis,77,59,Montana St.,"Bozeman, Mont.",away,False,2024-25,https://ucdavisaggies.com/sports/womens-basketball/stats/2024-25/montana-state/boxscore/27885
2024-11-17_uc_san_diego_fresno_st,2024-11-17,UC San Diego,Fresno St.,53,65,Fresno St.,"La Jolla, Calif.",home,False,2024-25,https://ucsdtritons.com/sports/womens-basketball/stats/2024-25/fresno-state/boxscore/10213
