game_id,date,home_team,away_team,home_score,away_score,winner,site_location,home_away_neutral,is_conference_game,season,source_url
2022-11-01_hawaii_hawaii_pacific,2022-11-01,Hawaii,Hawaii Pacific,73,49,Hawaii,"Honolulu, O‘ahu",home,False,2022-23,https://hawaiiathletics.com/sports/womens-basketball/stats/2022-2023/hpu/boxscore/28016
2022-11-03_uc_riverside_whittier,2022-11-03,UC Riverside,Whittier,92,32,UC Riverside,"Riverside, Calif.",home,False,2022-23,https://gohighlanders.com/sports/womens-basketball/stats/2022-23/whittier/boxscore/13691
2022-11-05_csu_bakersfield_biola,2022-11-05,CSU Bakersfield,Biola,96,57,CSU Bakersfield,"Bakersfield, CA",home,False,2022-23,https://gorunners.com/sports/womens-basketball/stats/2022-23/biola-exhibition-/boxscore/8496
2022-11-07_uc_davis_bethel_ks,2022-11-07,UC Davis,Bethel (KS),84,36,UC Davis,"Davis, CA",home,False,2022-23,https://ucdavisaggies.com/sports/womens-basketball/stats/2022-23/bethel-college/boxscore/22452
2022-11-07_oregon_st_hawaii,2022-11-07,Oregon St.,Hawaii,61,60,Oregon St.,"Corvallis, Ore.",away,False,2022-23,https://hawaiiathletics.com/sports/womens-basketball/stats/2022-2023/oregon-state/boxscore/27476
2022-11-07_california_baptist_uc_san_diego,2022-11-07,California Baptist,UC San Diego,84,76,California Baptist,"Riverside, Calif.",away,False,2022-23,https://ucsdtritons.com/sports/womens-basketball/stats/2022-23/california-baptist/boxscore/9110
2022-11-07_santa_clara_uc_santa_barbara,2022-11-07,Santa Clara,UC Santa Barbara,61,73,UC Santa Barbara,"Santa Clara, CA",away,False,2022-23,https://ucsbgauchos.com/sports/womens-basketball/stats/2022-23/santa-clara/boxscore/9346
2022-11-07_ucla_cal_poly,2022-11-07,UCLA,Cal Poly,84,48,UCLA,"Los Angeles, CA",away,False,2022-23,https://gopoly.com/sports/womens-basketball/stats/2022-23/ucla/boxscore/6780
2022-11-07_california_csun,2022-11-07,California,CSUN,86,56,California,"Berkeley, Calif.",away,False,2022-23,https://gomatadors.com/sports/womens-basketball/stats/2022-23/california/boxscore/15578
2022-11-07_uc_riverside_pacific,2022-11-07,UC Riverside,Pacific,61,83,Pacific,"Riverside, Calif.",home,False,2022-23,https://gohighlanders.com/sports/womens-basketball/stats/2022-23/pacific/boxscore/13692
