game_id,team,jersey,player,started,min,fg_m,fg_a,fg_pct,3p_m,3p_a,3p_pct,ft_m,ft_a,ft_pct,oreb,dreb,reb,pf,ast,to,blk,stl,pts
2022-11-01_hawaii_hawaii_pacific,Hawaii Pacific,24,"Spurgin, Abby",True,35,6,15,0.4,0,0,,3,9,0.333,3,7,10,3,1,2,0,1,15
2022-11-01_hawaii_hawaii_pacific,Hawaii Pacific,01,"Masaki, Haley",True,36,3,5,0.6,3,5,0.6,0,0,,0,1,1,4,2,2,0,1,9
2022-11-01_hawaii_hawaii_pacific,Hawaii Pacific,23,"Loftis, Keona",True,30,2,6,0.333,2,5,0.4,0,0,,1,7,8,2,3,4,0,0,6
2022-11-01_hawaii_hawaii_pacific,Hawaii Pacific,11,"Nunez, Ashley",True,13,0,3,0.0,0,2,0.0,2,2,1.0,2,0,2,2,0,5,0,0,2
2022-11-01_hawaii_hawaii_pacific,Hawaii Pacific,25,"Berry, Kaylee",True,10,0,2,0.0,0,1,0.0,0,2,0.0,0,2,2,0,0,2,0,1,0
2022-11-01_hawaii_hawaii_pacific,Hawaii Pacific,15,"Jensen, Jordyn",False,27,2,9,0.222,1,3,0.333,8,8,1.0,2,1,3,3,1,1,0,1,13
2022-11-01_hawaii_hawaii_pacific,Hawaii Pacific,14,"Berge, Ella",False,26,2,5,0.4,0,1,0.0,0,1,0.0,2,2,4,2,1,1,0,0,4
2022-11-01_hawaii_hawaii_pacific,Hawaii Pacific,05,"Turner, Maleah",False,8,0,1,0.0,0,1,0.0,0,0,,0,2,2,2,1,0,0,1,0
2022-11-01_hawaii_hawaii_pacific,Hawaii Pacific,12,"Diez Marti, Claudia",False,8,0,1,0.0,0,1,0.0,0,0,,0,1,1,1,2,3,0,0,0
2022-11-01_hawaii_hawaii_pacific,Hawaii Pacific,22,"Ross, Allison",False,7,0,2,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0
2022-11-01_hawaii_hawaii_pacific,Hawaii Pacific,TM,TEAM,False,0,0,0,,0,0,,0,0,,1,2,3,0,0,4,0,0,0
2022-11-01_hawaii_hawaii_pacific,Hawaii,15,"Phillips, Daejah",True,19,5,12,0.417,1,5,0.2,2,3,0.667,1,1,2,3,1,1,0,3,13
2022-11-01_hawaii_hawaii_pacific,Hawaii,11,"Spiller, Kallin",True,20,4,7,0.571,0,1,0.0,0,0,,2,2,4,2,1,0,2,0,8
2022-11-01_hawaii_hawaii_pacific,Hawaii,03,"Wahinekapu, Lily",True,14,2,6,0.333,0,2,0.0,2,3,0.667,2,3,5,0,3,1,0,0,6
2022-11-01_hawaii_hawaii_pacific,Hawaii,14,"Orji, Nnenna",True,20,2,5,0.4,0,0,,1,2,0.5,0,0,0,3,0,0,0,3,5
2022-11-01_hawaii_hawaii_pacific,Hawaii,02,"Thoms, Ashley",True,15,0,1,0.0,0,1,0.0,0,0,,1,2,3,1,2,1,0,0,0
2022-11-01_hawaii_hawaii_pacific,Hawaii,04,"Lefotu, Jovi",False,17,7,8,0.875,0,0,,6,6,1.0,0,2,2,2,1,0,0,2,20
2022-11-01_hawaii_hawaii_pacific,Hawaii,45,"Davies, Olivia",False,14,2,5,0.4,1,2,0.5,2,4,0.5,1,1,2,1,1,0,0,1,7
