game_id,team,q1_fg,q1_3p,q1_ft,q2_fg,q2_3p,q2_ft,q3_fg,q3_3p,q3_ft,q4_fg,q4_3p,q4_ft,ot1_fg,ot1_3p,ot1_ft,ot2_fg,ot2_3p,ot2_ft,ot3_fg,ot3_3p,ot3_ft,total_fg,total_3p,total_ft,technical_fouls,second_chance_pts,scores_tied,pts_in_paint,fast_break_pts,lead_changes,pts_off_turnovers,bench_pts
2022-11-01_hawaii_hawaii_pacific,Hawaii Pacific,6-11,4-7,2-4,1-13,0-5,2-4,3-8,1-3,2-5,5-17,1-5,7-9,,,,,,,,,,15-49,6-20,13-22,0,10,2,14,5,2,14,17
2022-11-01_hawaii_hawaii_pacific,Hawaii,5-14,1-6,8-11,8-14,3-6,4-6,10-20,0-4,2-4,3-15,0-9,3-5,,,,,,,,,,26-63,4-25,17-26,0,12,2,44,14,2,30,41
2022-11-03_uc_riverside_whittier,Whittier,3-12,0-3,4-5,3-10,0-5,0-0,3-12,1-7,0-0,2-10,2-7,3-4,,,,,,,,,,11-44,3-22,7-9,0,2,1,6,2,0,4,0
2022-11-03_uc_riverside_whittier,UC Riverside,8-18,3-9,8-9,6-17,2-9,0-0,10-19,2-9,4-5,10-16,4-8,1-2,,,,,,,,,,34-70,11-35,13-16,0,19,1,38,16,0,46,61
2022-11-05_csu_bakersfield_biola,Biola,4-15,3-9,0-0,8-11,3-4,1-1,4-15,4-11,1-4,3-10,1-6,6-9,,,,,,,,,,19-51,11-30,8-14,0,10,2,14,1,0,19,28
2022-11-05_csu_bakersfield_biola,CSU Bakersfield,8-16,5-9,1-4,10-14,4-5,3-4,10-16,2-4,4-5,8-15,3-8,2-5,,,,,,,,,,36-61,14-26,10-18,0,14,2,40,12,0,28,42
2022-11-07_uc_davis_bethel_ks,Bethel (KS),4-15,3-7,1-2,1-13,0-5,1-2,3-13,0-5,5-6,3-16,2-9,2-2,,,,,,,,,,11-57,5-26,9-12,0,0,0,8,4,0,8,22
2022-11-07_uc_davis_bethel_ks,UC Davis,8-14,3-8,2-2,8-19,2-7,1-2,8-17,0-5,7-9,9-16,3-6,0-2,,,,,,,,,,33-66,8-26,10-15,0,15,0,50,18,0,24,35
2022-11-07_oregon_st_hawaii,Hawaii,7-11,5-7,1-2,3-14,2-7,2-2,5-15,2-7,2-2,6-17,3-11,1-2,,,,,,,,,,21-57,12-32,6-8,0,12,6,14,3,6,13,19
2022-11-07_oregon_st_hawaii,Oregon St.,4-13,1-5,1-4,8-13,3-7,1-2,7-14,2-4,2-4,4-10,0-1,5-7,,,,,,,,,,23-50,6-17,9-17,1,4,6,28,2,6,8,18
2022-11-07_california_baptist_uc_san_diego,UC San Diego,4-13,3-11,3-3,11-17,5-10,0-0,4-16,0-6,6-7,8-21,3-9,2-2,,,,,,,,,,27-67,11-36,11-12,0,7,4,28,8,11,5,16
2022-11-07_california_baptist_uc_san_diego,California Baptist,7-19,2-8,0-0,3-13,0-8,11-13,8-19,3-10,5-7,6-13,3-8,12-13,,,,,,,,,,24-64,8-34,28-33,0,12,4,30,12,11,16,33
2022-11-07_santa_clara_uc_santa_barbara,UC Santa Barbara,8-20,2-4,0-0,9-17,1-4,4-5,7-15,2-7,2-2,4-10,0-0,6-7,,,,,,,,,,28-62,5-15,12-14,0,13,0,42,7,5,13,21
2022-11-07_santa_clara_uc_santa_barbara,Santa Clara,6-18,1-7,1-2,4-13,2-5,4-6,7-17,0-5,1-2,5-12,0-4,8-11,,,,,,,,,,22-60,3-21,14-21,0,10,0,30,7,5,13,7
2022-11-07_ucla_cal_poly,Cal Poly,5-14,1-5,0-1,6-17,0-7,2-3,6-16,3-4,0-3,3-12,0-5,2-2,,,,,,,,,,20-59,4-21,4-9,0,6,2,28,7,1,15,27
2022-11-07_ucla_cal_poly,UCLA,8-19,4-9,5-8,7-15,0-5,6-10,8-15,2-4,6-9,5-18,1-5,4-4,,,,,,,,,,28-67,7-23,21-31,0,22,2,38,23,1,26,27
2022-11-07_california_csun,CSUN,6-14,1-1,0-0,3-15,1-3,3-4,3-11,2-5,7-10,7-17,2-2,2-3,,,,,,,,,,19-57,6-11,12-17,0,13,1,16,1,3,7,29
2022-11-07_california_csun,California,5-15,1-8,6-8,7-15,1-5,1-1,9-18,4-7,11-13,9-18,2-7,0-2,,,,,,,,,,30-66,8-27,18-24,0,18,1,34,10,3,12,38
2022-11-07_uc_riverside_pacific,Pacific,9-17,2-4,4-4,10-18,2-5,0-2,8-10,1-2,8-12,5-11,0-1,2-3,,,,,,,,,,32-56,5-12,14-21,0,9,0,50,8,0,15,25
2022-11-07_uc_riverside_pacific,UC Riverside,5-18,1-4,1-4,4-15,1-4,2-2,6-15,2-4,10-13,5-15,1-5,3-6,,,,,,,,,,20-63,5-17,16-25,0,6,0,20,7,0,23,27
2022-11-08_uc_irvine_whittier,Whittier,4-13,2-7,4-4,4-12,2-5,2-4,0-12,0-5,0-0,3-10,1-3,0-0,,,,,,,,,,11-47,5-20,6-8,0,0,3,8,0,1,0,5
2022-11-08_uc_irvine_whittier,UC Irvine,8-19,3-11,1-4,9-22,5-11,0-0,10-24,2-7,4-6,12-19,4-9,1-1,,,,,,,,,,39-84,14-38,6-11,0,25,3,48,16,1,37,50
2022-11-08_southern_california_csu_bakersfield,CSU Bakersfield,1-11,0-3,2-2,4-14,0-5,2-4,6-16,0-2,0-0,6-14,1-3,2-4,,,,,,,,,,17-55,1-13,6-10,0,6,0,22,6,0,4,17
2022-11-08_southern_california_csu_bakersfield,Southern California,9-18,2-7,6-8,8-13,1-3,3-3,5-16,3-9,3-5,8-14,2-5,6-8,,,,,,,,,,30-61,8-24,18-24,0,12,0,42,24,0,34,29
2022-11-09_portland_hawaii,Hawaii,3-14,1-3,2-2,7-15,1-6,0-2,3-12,1-4,5-5,7-12,0-1,4-5,,,,,,,,,,20-53,3-14,11-14,0,4,0,26,7,0,19,13
2022-11-09_portland_hawaii,Portland,5-9,1-3,4-8,7-14,2-4,1-2,7-16,2-4,2-4,6-11,1-3,7-8,,,,,,,,,,25-50,6-14,14-22,0,9,0,30,9,0,24,23
2022-11-09_stanford_csun,CSUN,3-14,1-4,4-6,3-17,1-5,1-1,5-12,2-4,0-2,3-13,0-6,3-4,,,,,,,,,,14-56,4-19,8-13,0,3,0,16,0,0,3,23
2022-11-09_stanford_csun,Stanford,7-12,1-4,8-13,10-18,2-4,5-6,7-14,6-10,2-4,9-15,2-5,12-14,,,,,,,,,,33-59,11-23,27-37,0,11,0,42,3,0,19,53
2022-11-10_uc_santa_barbara_pepperdine,Pepperdine,3-14,1-3,0-0,4-19,1-8,1-1,11-19,2-2,3-4,5-16,1-5,8-11,,,,,,,,,,23-68,5-18,12-16,0,14,1,30,13,0,19,15
2022-11-10_uc_santa_barbara_pepperdine,UC Santa Barbara,6-14,1-5,2-2,9-18,5-7,0-0,6-12,1-2,0-0,5-10,1-4,9-13,,,,,,,,,,26-54,8-18,11-15,0,3,1,30,12,0,14,19
