game_id,team,jersey,player,started,min,fg_m,fg_a,fg_pct,3p_m,3p_a,3p_pct,ft_m,ft_a,ft_pct,oreb,dreb,reb,pf,ast,to,blk,stl,pts
2019-10-29_hawaii_hawaii_pacific,Hawaii Pacific,04,"Marcucci, Alysha",True,35,5,15,0.333,3,8,0.375,5,5,1.0,1,2,3,3,1,0,0,0,18
2019-10-29_hawaii_hawaii_pacific,Hawaii Pacific,03,"Baum, Amy",True,36,5,14,0.357,3,7,0.429,2,2,1.0,1,2,3,2,1,0,0,0,15
2019-10-29_hawaii_hawaii_pacific,Hawaii Pacific,20,"Gambee, Makenna",True,30,2,7,0.286,0,0,,0,0,,2,2,4,5,1,2,0,2,4
2019-10-29_hawaii_hawaii_pacific,Hawaii Pacific,11,"Noblett, Abbey",True,17,1,5,0.2,0,1,0.0,1,2,0.5,1,1,2,5,0,4,0,0,3
2019-10-29_hawaii_hawaii_pacific,Hawaii Pacific,10,"Spatzier, Theresa",True,14,0,4,0.0,0,4,0.0,0,0,,1,2,3,2,0,1,0,1,0
2019-10-29_hawaii_hawaii_pacific,Hawaii Pacific,30,"Rivera, Starr",False,31,7,15,0.467,2,7,0.286,0,0,,1,2,3,3,4,0,0,2,16
2019-10-29_hawaii_hawaii_pacific,Hawaii Pacific,24,"Leidefors, Maja",False,5,1,2,0.5,0,0,,5,5,1.0,0,2,2,1,0,1,0,0,7
2019-10-29_hawaii_hawaii_pacific,Hawaii Pacific,00,"Bates, Ally",False,16,2,2,1.0,2,2,1.0,0,0,,0,2,2,5,2,2,0,0,6
2019-10-29_hawaii_hawaii_pacific,Hawaii Pacific,21,"Cargill, Avery",False,16,1,3,0.333,0,0,,0,0,,0,2,2,2,2,0,0,1,2
2019-10-29_hawaii_hawaii_pacific,Hawaii Pacific,13,"Sellona, Kristine",False,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
2019-10-29_hawaii_hawaii_pacific,Hawaii Pacific,TM,TEAM,False,0,0,0,,0,0,,0,0,,2,1,3,0,0,0,0,0,0
2019-10-29_hawaii_hawaii_pacific,Hawaii,00,"Tago, Julissa",True,28,6,15,0.4,4,10,0.4,7,9,0.778,0,4,4,1,1,0,1,0,23
2019-10-29_hawaii_hawaii_pacific,Hawaii,25,"Atwell, Amy",True,26,3,6,0.5,1,4,0.25,6,7,0.857,0,3,3,1,1,2,0,1,13
2019-10-29_hawaii_hawaii_pacific,Hawaii,15,"Alexander, Jadynn",True,31,2,2,1.0,1,1,1.0,6,6,1.0,2,3,5,2,0,3,0,0,11
2019-10-29_hawaii_hawaii_pacific,Hawaii,14,"Rewers, Lauren",True,34,2,5,0.4,0,0,,6,6,1.0,2,6,8,4,0,1,2,0,10
2019-10-29_hawaii_hawaii_pacific,Hawaii,24,"Calhoun, Nae Nae",True,28,4,8,0.5,0,0,,1,2,0.5,1,3,4,4,2,4,1,1,9
2019-10-29_hawaii_hawaii_pacific,Hawaii,02,"Middap, Courtney",False,26,1,4,0.25,0,1,0.0,5,6,0.833,1,2,3,2,3,4,0,0,7
2019-10-29_hawaii_hawaii_pacific,Hawaii,05,"Joseph, Myrrah",False,6,1,1,1.0,0,0,,1,2,0.5,1,0,1,4,0,1,0,1,3
2019-10-29_hawaii_hawaii_pacific,Hawaii,04,"Reier, Savannah",False,11,0,0,,0,0,,0,0,,0,2,2,1,0,1,0,0,0
2019-10-29_hawaii_hawaii_pacific,Hawaii,03,"Edwards, Makayla",False,6,0,1,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,0,0,0
2019-10-29_hawaii_hawaii_pacific,Hawaii,11,"Davies, Olivia",False,4,0,1,0.0,0,0,,0,0,,0,1,1,0,2,1,0,0,0
2019-10-29_hawaii_hawaii_pacific,Hawaii,TM,TEAM,False,0,0,0,,0,0,,0,0,,1,5,6,0,0,0,0,0,0
2019-10-29_csun_masters,Master's,25,Stephanie Soares,True,29,10,15,0.667,1,2,0.5,4,6,0.667,5,5,10,3,1,2,6,2,25
2019-10-29_csun_masters,Master's,13,Madi Hull,True,36,5,12,0.417,1,4,0.25,0,0,,0,2,2,1,4,6,0,2,11
2019-10-29_csun_masters,Master's,21,Anika Neuman,True,35,3,10,0.3,0,4,0.0,3,4,0.75,2,5,7,2,5,2,1,0,9
2019-10-29_csun_masters,Master's,4,Tristen Coltom,True,25,2,7,0.286,2,6,0.333,0,0,,0,3,3,2,1,2,0,0,6
2019-10-29_csun_masters,Master's,3,Hannah Ostrom,True,31,1,7,0.143,0,4,0.0,0,0,,2,3,5,3,4,7,0,1,2
2019-10-29_csun_masters,Master's,23,Olivia Prettyman,False,26,3,7,0.429,2,6,0.333,4,4,1.0,4,3,7,1,1,2,0,1,12
2019-10-29_csun_masters,Master's,1,Caitlyn Monten,False,14,0,1,0.0,0,0,,0,0,,1,4,5,1,0,0,0,1,0
2019-10-29_csun_masters,Master's,2,Katelyn Saulog,False,4,0,0,,0,0,,0,0,,0,0,0,0,0,3,0,1,0
2019-10-29_csun_masters,Master's,TM,TEAM,False,0,0,0,,0,0,,0,0,,1,9,10,0,0,1,0,0,0
2019-10-29_csun_masters,CSUN,55,"Calloway, De'jionae",True,28,9,17,0.529,0,0,,3,4,0.75,4,4,8,3,0,1,0,0,21
2019-10-29_csun_masters,CSUN,1,"Jackson, Jordyn",True,35,7,21,0.333,3,11,0.273,2,2,1.0,0,2,2,4,1,3,0,4,19
2019-10-29_csun_masters,CSUN,12,"Henderson, Meghann",True,33,1,9,0.111,1,5,0.2,6,8,0.75,1,5,6,1,7,4,3,4,9
2019-10-29_csun_masters,CSUN,24,"Drennan, Carla",True,37,1,9,0.111,1,7,0.143,2,4,0.5,2,6,8,3,0,3,0,3,5
2019-10-29_csun_masters,CSUN,23,"Tanabe, Hayley",True,36,2,4,0.5,1,1,1.0,0,0,,1,2,3,1,6,2,0,4,5
2019-10-29_csun_masters,CSUN,32,"Popa, Daniela",False,11,1,4,0.25,0,0,,0,0,,4,1,5,1,0,2,0,0,2
2019-10-29_csun_masters,CSUN,11,"Smith, Olivia",False,20,0,4,0.0,0,0,,0,0,,1,1,2,3,3,0,0,1,0
2019-10-29_csun_masters,CSUN,TM,TEAM,False,0,0,0,,0,0,,0,0,,3,1,4,0,0,0,0,0,0
2019-11-02_cal_st_fullerton_biola,Biola,10,"Brimley, Tatum",True,,6,9,0.667,3,3,1.0,0,2,0.0,0,1,1,1,1,1,0,2,15
2019-11-02_cal_st_fullerton_biola,Biola,5,"Estorga, Danita",True,,2,13,0.154,1,8,0.125,0,0,,3,5,8,3,1,3,0,0,5
2019-11-02_cal_st_fullerton_biola,Biola,11,"Benn, Jazz",True,,2,6,0.333,1,2,0.5,0,0,,1,4,5,0,1,2,0,0,5
2019-11-02_cal_st_fullerton_biola,Biola,2,"Puckett, Jelissa",True,,1,4,0.25,0,2,0.0,0,0,,0,1,1,4,2,2,0,2,2
2019-11-02_cal_st_fullerton_biola,Biola,33,"Gantt, Haley",True,,0,2,0.0,0,1,0.0,1,2,0.5,0,2,2,3,0,1,0,0,1
2019-11-02_cal_st_fullerton_biola,Biola,3,"Thomas-Reid, Jana",False,,5,7,0.714,0,0,,1,3,0.333,2,1,3,4,0,1,0,0,11
2019-11-02_cal_st_fullerton_biola,Biola,32,"Greens, Mikayla",False,,3,7,0.429,0,0,,0,0,,0,4,4,0,1,0,1,2,6
2019-11-02_cal_st_fullerton_biola,Biola,15,"Lee, Stephanie",False,,1,6,0.167,0,4,0.0,0,0,,1,1,2,1,1,1,1,0,2
2019-11-02_cal_st_fullerton_biola,Biola,12,"Johnson, Aysia",False,,0,3,0.0,0,0,,2,4,0.5,1,2,3,4,1,2,0,1,2
2019-11-02_cal_st_fullerton_biola,Biola,4,"Macedo, Kayla",False,,0,1,0.0,0,1,0.0,2,2,1.0,0,1,1,0,0,1,1,0,2
2019-11-02_cal_st_fullerton_biola,Biola,21,"Chang, Madi",False,,0,2,0.0,0,2,0.0,0,0,,0,1,1,3,0,1,0,0,0
2019-11-02_cal_st_fullerton_biola,Biola,23,"Rabe, Jordan",False,,0,1,0.0,0,0,,0,0,,0,0,0,1,0,0,0,0,0
2019-11-02_cal_st_fullerton_biola,Biola,25,"Randall, Jaden",False,,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0
2019-11-02_cal_st_fullerton_biola,Biola,TM,TEAM,False,0,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,0,0
2019-11-02_cal_st_fullerton_biola,Cal St. Fullerton,2,"Perez, Raina",True,,7,9,0.778,2,3,0.667,0,0,,0,4,4,2,7,1,0,3,16
2019-11-02_cal_st_fullerton_biola,Cal St. Fullerton,21,"Turney, Taylor",True,28,4,11,0.364,0,0,,4,8,0.5,1,3,4,0,8,1,0,1,12
2019-11-02_cal_st_fullerton_biola,Cal St. Fullerton,13,"Book, Amiee",True,,4,9,0.444,2,4,0.5,2,2,1.0,0,5,5,3,1,4,2,1,12
2019-11-02_cal_st_fullerton_biola,Cal St. Fullerton,22,"Freemon, Madison",True,,2,5,0.4,1,1,1.0,0,0,,0,4,4,2,1,1,1,1,5
2019-11-02_cal_st_fullerton_biola,Cal St. Fullerton,11,"Krupa, Joy",True,,1,4,0.25,0,0,,0,0,,1,6,7,0,2,1,0,1,2
2019-11-02_cal_st_fullerton_biola,Cal St. Fullerton,1,"Goldsmith, Malia",False,,4,4,1.0,3,3,1.0,1,1,1.0,0,0,0,1,0,1,0,2,12
2019-11-02_cal_st_fullerton_biola,Cal St. Fullerton,10,"Nieto, Megan",False,,3,3,1.0,0,0,,1,1,1.0,1,1,2,3,0,2,0,1,7
2019-11-02_cal_st_fullerton_biola,Cal St. Fullerton,15,"Mensah, Janette",False,,1,2,0.5,0,0,,4,8,0.5,1,5,6,4,0,1,0,0,6
2019-11-02_cal_st_fullerton_biola,Cal St. Fullerton,4,"Neff, Kathryn",False,,2,3,0.667,2,2,1.0,0,0,,0,1,1,1,0,0,0,0,6
2019-11-02_cal_st_fullerton_biola,Cal St. Fullerton,5,"Rodarte, Clarissa",False,,0,2,0.0,0,0,,4,8,0.5,1,2,3,3,0,0,0,0,4
2019-11-02_cal_st_fullerton_biola,Cal St. Fullerton,0,"Frey, Anniken",False,,1,2,0.5,0,1,0.0,0,0,,0,0,0,0,1,0,0,0,2
2019-11-02_cal_st_fullerton_biola,Cal St. Fullerton,TM,TEAM,False,0,0,0,,0,0,,0,0,,0,7,7,0,0,0,0,0,0
2019-11-05_hawaii_san_diego_st,San Diego St.,02,"Ramos, Sophia",True,35,5,16,0.312,2,6,0.333,2,3,0.667,0,5,5,1,2,1,0,1,14
2019-11-05_hawaii_san_diego_st,San Diego St.,03,"Adams, Mallory",True,30,5,13,0.385,0,0,,3,5,0.6,1,2,3,1,0,1,0,1,13
2019-11-05_hawaii_san_diego_st,San Diego St.,25,"Kalmer, Taylor",True,33,5,10,0.5,0,1,0.0,0,0,,2,3,5,0,1,1,0,0,10
2019-11-05_hawaii_san_diego_st,San Diego St.,05,"Adams, T?a",True,27,1,5,0.2,1,3,0.333,1,2,0.5,0,4,4,4,2,1,0,0,4
2019-11-05_hawaii_san_diego_st,San Diego St.,34,"Vanderdoes, Baylee",True,15,0,2,0.0,0,0,,0,0,,1,0,1,2,0,1,1,0,0
2019-11-05_hawaii_san_diego_st,San Diego St.,22,"Dornstauder, Zayn",False,22,5,7,0.714,0,0,,3,6,0.5,1,5,6,2,0,0,0,0,13
2019-11-05_hawaii_san_diego_st,San Diego St.,15,"Perez, Jayden",False,5,1,1,1.0,1,1,1.0,0,0,,0,1,1,0,0,0,0,0,3
2019-11-05_hawaii_san_diego_st,San Diego St.,04,"Terry, Monique",False,10,0,2,0.0,0,1,0.0,1,2,0.5,1,3,4,0,0,0,0,0,1
2019-11-05_hawaii_san_diego_st,San Diego St.,10,"Hernandez, Isabela",False,10,0,2,0.0,0,1,0.0,0,0,,0,1,1,1,0,1,0,0,0
2019-11-05_hawaii_san_diego_st,San Diego St.,00,"Villa, Kennedi",False,8,0,0,,0,0,,0,0,,0,0,0,1,1,0,0,0,0
2019-11-05_hawaii_san_diego_st,San Diego St.,45,"Ekwedike, Naomi",False,5,0,2,0.0,0,0,,0,0,,1,0,1,0,0,0,0,0,0
2019-11-05_hawaii_san_diego_st,San Diego St.,TM,TEAM,False,0,0,0,,0,0,,0,0,,2,6,8,0,0,0,0,0,0
2019-11-05_hawaii_san_diego_st,Hawaii,25,"Atwell, Amy",True,26,6,17,0.353,3,10,0.3,2,2,1.0,2,9,11,2,2,3,0,0,17
2019-11-05_hawaii_san_diego_st,Hawaii,14,"Rewers, Lauren",True,31,6,10,0.6,2,4,0.5,2,2,1.0,1,9,10,2,1,0,3,0,16
2019-11-05_hawaii_san_diego_st,Hawaii,00,"Tago, Julissa",True,22,3,11,0.273,0,6,0.0,0,0,,1,4,5,0,1,1,0,0,6
2019-11-05_hawaii_san_diego_st,Hawaii,15,"Alexander, Jadynn",True,32,2,7,0.286,0,3,0.0,0,0,,1,2,3,1,1,0,0,1,4
2019-11-05_hawaii_san_diego_st,Hawaii,24,"Calhoun, Nae Nae",True,27,1,4,0.25,0,1,0.0,1,2,0.5,1,2,3,2,3,1,0,1,3
2019-11-05_hawaii_san_diego_st,Hawaii,05,"Joseph, Myrrah",False,15,3,4,0.75,0,0,,0,0,,1,1,2,4,1,1,0,0,6
2019-11-05_hawaii_san_diego_st,Hawaii,02,"Middap, Courtney",False,23,2,7,0.286,1,5,0.2,0,0,,0,3,3,0,4,0,0,0,5
2019-11-05_hawaii_san_diego_st,Hawaii,44,"Rangel, Barbara",False,6,2,3,0.667,0,0,,0,0,,1,0,1,0,0,0,0,0,4
2019-11-05_hawaii_san_diego_st,Hawaii,03,"Edwards, Makayla",False,9,0,2,0.0,0,1,0.0,0,0,,0,2,2,1,0,1,0,0,0
2019-11-05_hawaii_san_diego_st,Hawaii,04,"Reier, Savannah",False,9,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,1,0,0,0,0
2019-11-05_hawaii_san_diego_st,Hawaii,TM,TEAM,False,0,0,0,,0,0,,0,0,,3,0,3,0,0,0,0,0,0
2019-11-05_uc_irvine_san_jose_st,San Jose St.,15,"Whitehead, Tyra",True,32,9,19,0.474,0,0,,3,3,1.0,1,11,12,3,1,2,0,4,21
2019-11-05_uc_irvine_san_jose_st,San Jose St.,3,"Basallo, Ayzhiana",True,26,6,12,0.5,2,3,0.667,6,6,1.0,1,1,2,4,3,3,0,1,20
2019-11-05_uc_irvine_san_jose_st,San Jose St.,30,"Anderson, Megan",True,32,5,7,0.714,4,5,0.8,0,0,,0,4,4,0,1,0,0,2,14
2019-11-05_uc_irvine_san_jose_st,San Jose St.,00,"Potter, Raziya",True,23,3,8,0.375,0,1,0.0,3,4,0.75,0,3,3,3,5,2,0,0,9
2019-11-05_uc_irvine_san_jose_st,San Jose St.,4,"Hafoka, Fieme'a",True,26,4,8,0.5,0,2,0.0,0,0,,3,5,8,4,1,4,1,2,8
2019-11-05_uc_irvine_san_jose_st,San Jose St.,22,"Marquez, Danae",False,30,2,9,0.222,1,5,0.2,0,0,,0,1,1,4,7,5,0,2,5
2019-11-05_uc_irvine_san_jose_st,San Jose St.,35,"Lewis, Cydni",False,13,0,2,0.0,0,1,0.0,0,0,,0,2,2,0,0,0,0,0,0
2019-11-05_uc_irvine_san_jose_st,San Jose St.,33,"Clark, Courtesy",False,12,0,3,0.0,0,1,0.0,0,0,,1,1,2,3,1,0,0,0,0
2019-11-05_uc_irvine_san_jose_st,San Jose St.,24,"Harris, Alexis",False,5,0,0,,0,0,,0,0,,0,3,3,2,0,2,0,0,0
2019-11-05_uc_irvine_san_jose_st,San Jose St.,23,"Lewis-hampton, Miyah",False,1,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0
2019-11-05_uc_irvine_san_jose_st,San Jose St.,TM,TEAM,False,0,0,0,,0,0,,0,0,,3,1,4,0,0,0,0,0,0
2019-11-05_uc_irvine_san_jose_st,UC Irvine,15,"Seaton, Alexus",True,34,6,9,0.667,0,1,0.0,5,8,0.625,2,5,7,2,5,0,1,2,17
2019-11-05_uc_irvine_san_jose_st,UC Irvine,34,"Sanders, Jordan",True,32,8,19,0.421,0,3,0.0,0,2,0.0,1,7,8,2,1,3,1,1,16
2019-11-05_uc_irvine_san_jose_st,UC Irvine,3,"Saiki, Lauren",True,31,6,13,0.462,3,6,0.5,1,2,0.5,0,1,1,1,7,4,1,3,16
2019-11-05_uc_irvine_san_jose_st,UC Irvine,11,"Garza, Tahlia",True,18,2,4,0.5,0,0,,0,2,0.0,1,4,5,3,0,1,2,0,4
2019-11-05_uc_irvine_san_jose_st,UC Irvine,14,"Sa'dullah, Yazzy",True,17,0,3,0.0,0,3,0.0,0,0,,0,1,1,1,1,1,0,0,0
2019-11-05_uc_irvine_san_jose_st,UC Irvine,35,"Locandro, Sophia",False,16,5,7,0.714,0,0,,1,2,0.5,1,2,3,3,0,0,1,0,11
2019-11-05_uc_irvine_san_jose_st,UC Irvine,2,"Webb, Chloe",False,11,2,2,1.0,0,0,,3,6,0.5,0,2,2,2,2,2,1,1,7
2019-11-05_uc_irvine_san_jose_st,UC Irvine,21,"Talbert, Haleigh",False,20,2,4,0.5,1,2,0.5,0,0,,1,4,5,1,2,2,0,2,5
2019-11-05_uc_irvine_san_jose_st,UC Irvine,20,"Guglielmo, Dani",False,13,1,4,0.25,1,3,0.333,0,0,,0,1,1,2,0,1,0,1,3
2019-11-05_uc_irvine_san_jose_st,UC Irvine,30,"Akaegbu-cleveland, Joy",False,7,0,2,0.0,0,0,,0,0,,0,0,0,2,0,0,1,0,0
2019-11-05_uc_irvine_san_jose_st,UC Irvine,10,"Cadee, Jayde",False,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
2019-11-05_uc_irvine_san_jose_st,UC Irvine,TM,TEAM,False,0,0,0,,0,0,,0,0,,4,1,5,0,0,0,0,0,0
2019-11-05_uc_santa_barbara_utah_valley,Utah Valley,14,Eve Braslis,True,33,7,15,0.467,1,3,0.333,1,3,0.333,4,1,5,3,0,2,0,0,16
2019-11-05_uc_santa_barbara_utah_valley,Utah Valley,20,Alexis Cortez,True,34,5,13,0.385,1,4,0.25,2,2,1.0,0,2,2,2,0,3,2,1,13
2019-11-05_uc_santa_barbara_utah_valley,Utah Valley,35,Jordan Holland,True,31,3,13,0.231,1,8,0.125,0,0,,1,6,7,3,1,1,0,0,7
2019-11-05_uc_santa_barbara_utah_valley,Utah Valley,40,Josie Williams,True,21,2,4,0.5,0,0,,1,6,0.167,4,5,9,3,1,1,0,1,5
2019-11-05_uc_santa_barbara_utah_valley,Utah Valley,03,Maria Carvalho,True,36,1,9,0.111,0,1,0.0,0,0,,0,2,2,4,3,3,0,0,2
2019-11-05_uc_santa_barbara_utah_valley,Utah Valley,22,Megan Jensen,False,10,3,4,0.75,0,0,,0,0,,2,2,4,4,0,1,0,1,6
2019-11-05_uc_santa_barbara_utah_valley,Utah Valley,11,Keana Delos Santos,False,13,1,3,0.333,0,2,0.0,0,0,,0,0,0,1,2,1,0,0,2
2019-11-05_uc_santa_barbara_utah_valley,Utah Valley,21,Nehaa Sohail,False,11,0,2,0.0,0,1,0.0,0,0,,2,3,5,2,0,1,0,0,0
2019-11-05_uc_santa_barbara_utah_valley,Utah Valley,23,Madison Grange,False,7,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0
2019-11-05_uc_santa_barbara_utah_valley,Utah Valley,05,Sydney Wright,False,4,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0
2019-11-05_uc_santa_barbara_utah_valley,Utah Valley,TM,TEAM,False,0,0,0,,0,0,,0,0,,3,9,12,0,0,1,0,0,0
