game_id,team,q1_fg,q1_3p,q1_ft,q2_fg,q2_3p,q2_ft,q3_fg,q3_3p,q3_ft,q4_fg,q4_3p,q4_ft,ot1_fg,ot1_3p,ot1_ft,ot2_fg,ot2_3p,ot2_ft,total_fg,total_3p,total_ft,technical_fouls,second_chance_pts,scores_tied,pts_in_paint,fast_break_pts,lead_changes,pts_off_turnovers,bench_pts
2019-11-07_southern_utah_cal_st_fullerton,Cal St. Fullerton,4-13,1-5,6-6,5-15,2-4,0-0,8-16,1-3,2-5,7-15,3-6,0-0,,,,,,,24-59,7-18,8-11,0,10,1,24,2,1,13,6
2019-11-07_southern_utah_cal_st_fullerton,Southern Utah,6-19,1-1,5-7,9-18,2-6,3-3,6-13,2-7,2-4,9-14,2-4,2-2,,,,,,,30-64,7-18,12-16,0,12,1,38,8,1,20,46
2019-11-07_new_mexico_st_uc_riverside,UC Riverside,4-11,1-5,6-6,5-15,0-5,0-0,8-14,0-0,6-6,5-18,0-3,3-4,,,,,,,22-58,1-13,15-16,0,16,7,34,2,12,16,15
2019-11-07_new_mexico_st_uc_riverside,New Mexico St.,6-16,1-4,3-3,5-15,0-2,0-0,3-12,0-4,5-8,7-16,2-4,5-5,,,,,,,21-59,3-14,13-16,0,9,7,28,14,12,16,6
2019-11-08_montana_st_uc_davis,UC Davis,3-10,1-5,5-8,5-14,2-5,4-4,5-14,0-4,1-2,10-17,4-8,2-4,,,,,,,23-55,7-22,12-18,0,12,3,30,6,0,14,11
2019-11-08_montana_st_uc_davis,Montana St.,7-18,3-5,2-2,10-15,3-4,5-8,5-13,2-5,1-2,7-10,1-3,2-8,,,,,,,29-56,9-17,10-20,0,8,0,36,8,1,18,23
2019-11-08_saint_marys_ca_uc_santa_barbara,UC Santa Barbara,6-19,2-8,0-0,5-14,1-7,2-3,6-21,0-3,0-0,1-14,0-5,2-4,,,,,,,18-68,3-23,4-7,0,1,3,20,0,2,2,17
2019-11-08_saint_marys_ca_uc_santa_barbara,Saint Mary's (CA),5-16,1-6,4-6,6-21,2-10,2-6,10-18,4-6,0-0,3-15,0-5,3-6,,,,,,,24-70,7-27,9-18,0,13,4,30,8,3,8,18
2019-11-08_washington_csu_bakersfield,CSU Bakersfield,6-12,3-6,1-2,4-13,2-8,0-2,4-14,2-7,0-0,4-15,0-2,5-14,,,,,,,18-54,7-23,6-18,0,7,0,18,8,0,8,26
2019-11-08_washington_csu_bakersfield,Washington,8-19,3-7,1-1,6-16,1-6,3-6,7-16,2-7,9-10,6-19,2-10,5-7,,,,,,,27-70,8-30,18-24,0,9,0,34,24,0,34,35
2019-11-09_oregon_st_uc_irvine,UC Irvine,7-22,3-7,0-0,6-17,1-5,1-3,5-16,1-3,2-2,5-14,2-3,1-3,,,,,,,23-69,7-18,4-8,0,6,0,16,3,4,11,10
2019-11-09_oregon_st_uc_irvine,Oregon St.,9-12,3-5,6-9,8-14,2-5,0-0,9-18,4-9,0-2,8-13,3-5,0-0,,,,,,,34-57,12-24,6-11,0,5,0,42,4,4,15,12
2019-11-09_long_beach_st_westcliff,Westcliff,5-12,1-1,0-2,5-15,2-6,0-0,1-12,1-8,10-14,3-11,1-4,4-6,,,,,,,14-50,5-19,14-22,0,16,3,12,2,4,10,19
2019-11-09_long_beach_st_westcliff,Long Beach St.,5-16,2-9,3-4,8-14,1-3,10-11,13-22,2-7,1-6,9-19,5-10,0-0,,,,,,,35-71,10-29,14-21,0,18,3,48,25,4,54,56
2019-11-09_california_baptist_csun,CSUN,5-13,2-4,5-8,3-20,0-10,1-4,7-21,1-4,2-2,6-20,3-6,0-2,,,,,,,21-74,6-24,8-16,0,4,1,18,5,5,11,21
2019-11-09_california_baptist_csun,California Baptist,8-18,1-4,1-2,5-17,1-9,2-3,5-17,1-8,3-4,4-12,1-4,10-13,,,,,,,22-64,4-25,16-22,0,12,1,36,11,5,7,15
2019-11-09_unlv_cal_st_fullerton,Cal St. Fullerton,7-13,0-2,5-7,4-11,0-1,2-2,8-17,0-2,3-4,6-13,0-1,4-8,,,,,,,25-54,0-6,14-21,0,11,5,38,8,7,24,10
2019-11-09_unlv_cal_st_fullerton,UNLV,6-15,3-7,4-6,6-18,3-8,1-2,2-15,0-4,8-10,4-15,1-8,2-3,,,,,,,18-63,7-27,15-21,0,6,5,20,4,7,16,31
2019-11-09_utep_ucr,UCR,2-7,0-1,0-1,2-8,0-2,6-10,4-8,0-3,6-6,10-18,1-7,1-2,,,,,,,18-41,1-13,13-19,0,10,0,26,17,0,8,18
2019-11-09_utep_ucr,UTEP,6-16,2-6,0-2,5-12,1-3,8-12,4-15,2-7,3-7,4-17,1-5,8-9,,,,,,,19-60,6-21,19-30,0,11,0,24,9,0,25,21
2019-11-10_uc_san_diego_simon_fraser,Simon Fraser,6-17,2-7,8-9,9-17,2-5,0-1,6-13,2-5,5-6,4-16,3-7,5-5,,,,,,,25-63,9-24,18-21,0,13,9,20,10,17,9,28
2019-11-10_uc_san_diego_simon_fraser,UC San Diego,7-18,2-8,6-7,7-15,0-0,6-7,11-17,5-9,0-0,5-14,2-2,3-6,,,,,,,30-64,9-19,15-20,0,5,9,40,15,17,20,35
2019-11-10_pepperdine_cal_poly,Cal Poly,8-13,0-1,3-4,2-10,2-3,0-0,6-19,0-6,1-2,6-17,1-7,2-2,,,,,,,22-59,3-17,6-8,0,11,0,34,2,0,8,10
2019-11-10_pepperdine_cal_poly,Pepperdine,6-18,2-7,0-0,6-15,3-5,1-2,7-15,4-8,2-3,4-18,3-7,2-4,,,,,,,23-66,12-27,5-9,0,10,1,12,0,1,15,16
2019-11-10_gonzaga_csu_bakersfield,CSU Bakersfield,4-15,1-6,1-2,5-11,1-4,0-0,5-13,2-6,3-6,5-18,2-7,0-0,,,,,,,19-57,6-23,4-8,0,12,1,18,2,1,11,21
2019-11-10_gonzaga_csu_bakersfield,Gonzaga,5-12,0-4,6-6,10-18,4-7,4-4,10-17,3-7,3-4,8-12,3-4,3-6,,,,,,,33-59,10-22,16-20,0,24,1,32,13,1,35,32
2019-11-12_fresno_state_uc_davis,UC Davis,7-14,2-5,1-2,3-18,2-9,0-2,7-17,1-6,1-1,9-19,3-10,3-5,,,,,,,26-68,8-30,5-10,0,5,0,32,4,1,2,18
2019-11-12_fresno_state_uc_davis,Fresno State,4-18,0-6,0-2,8-18,2-7,2-2,7-16,2-8,7-8,5-10,2-2,10-13,,,,,,,24-62,6-23,19-25,0,5,1,34,4,2,2,3
2019-11-12_csun_virginia,Virginia,6-17,2-6,2-2,3-8,2-5,0-0,10-13,4-5,2-2,7-16,1-3,7-10,,,,,,,26-54,9-19,11-14,0,9,0,28,16,0,24,22
2019-11-12_csun_virginia,CSUN,4-13,1-8,2-2,3-17,0-5,0-0,5-15,2-5,8-12,4-14,2-6,0-0,,,,,,,16-59,5-24,10-14,0,12,2,20,9,0,15,16
2019-11-13_loyola_marymount_hawaii,Hawaii,4-10,1-4,1-2,5-17,2-8,5-6,6-16,1-3,2-4,2-11,1-4,4-6,,,,,,,17-54,5-19,12-18,0,19,5,18,2,11,6,29
2019-11-13_loyola_marymount_hawaii,Loyola Marymount,8-21,0-4,1-1,4-17,0-3,2-7,7-14,0-1,4-4,5-11,1-1,9-16,,,,,,,24-63,1-9,16-28,0,16,5,30,7,11,16,12
2019-11-14_ucla_long_beach_st,Long Beach St.,3-13,1-5,0-2,7-15,2-6,3-4,5-13,1-5,5-6,4-16,1-6,0-1,,,,,,,19-57,5-22,8-13,0,4,0,20,3,0,5,8
2019-11-14_ucla_long_beach_st,UCLA,9-18,3-7,5-5,10-17,1-5,5-5,8-18,2-6,1-2,6-18,1-8,2-2,,,,,,,33-71,7-26,13-14,0,12,0,46,14,0,33,31
2019-11-14_uc_riverside_southern_california,Southern California,6-18,3-9,5-6,6-17,2-4,6-6,6-16,1-3,3-3,5-9,1-4,9-10,,,,,,,23-60,7-20,23-25,0,10,3,26,8,3,15,35
2019-11-14_uc_riverside_southern_california,UC Riverside,7-15,1-3,1-2,7-17,1-8,2-2,5-13,3-5,2-2,4-13,1-2,2-2,,,,,,,23-58,6-18,7-8,0,6,3,26,0,3,2,19
2019-11-15_pepperdine_hawaii,Hawaii,4-13,1-5,4-5,3-14,0-4,0-2,9-14,2-4,2-2,4-10,1-6,2-4,,,,,,,20-51,4-19,8-13,1,9,11,24,2,15,9,6
2019-11-15_pepperdine_hawaii,Pepperdine,4-13,0-4,5-6,4-16,1-4,0-0,4-18,0-6,2-2,7-23,3-4,2-2,,,,,,,19-70,4-18,9-10,0,8,11,22,7,15,12,21
2019-11-15_uc_irvine_davidson,Davidson,6-16,3-5,2-2,12-16,3-5,2-3,3-10,0-2,6-11,5-14,2-6,8-10,,,,,,,26-56,8-18,18-26,0,13,2,24,7,2,10,16
2019-11-15_uc_irvine_davidson,UC Irvine,4-14,1-2,5-7,7-13,1-2,5-9,8-17,0-2,4-6,7-16,1-5,3-5,,,,,,,26-60,3-11,17-27,0,10,2,42,14,2,20,26
2019-11-15_uc_san_diego_western_wash,Western Wash.,8-19,1-3,1-1,4-16,1-6,4-6,7-11,4-4,0-0,8-20,3-9,0-0,,,,,,,27-66,9-22,5-7,0,16,1,24,9,3,15,36
2019-11-15_uc_san_diego_western_wash,UC San Diego,6-17,0-3,0-0,6-14,2-6,6-10,10-19,3-5,1-2,6-12,3-6,5-6,,,,,,,28-62,8-20,12-18,0,9,1,26,13,3,15,37
2019-11-15_uc_santa_barbara_san_jose_st,San Jose St.,5-19,1-5,2-4,5-14,1-3,3-4,8-14,0-3,9-10,6-9,2-3,7-8,,,,,,,24-56,4-14,21-26,0,4,2,26,2,4,30,17
2019-11-15_uc_santa_barbara_san_jose_st,UC Santa Barbara,6-15,2-7,2-6,5-9,2-5,3-4,5-13,1-6,4-6,7-15,2-8,8-10,,,,,,,23-52,7-26,17-26,0,13,1,20,0,3,12,13
2019-11-15_loyola_marymount_cal_st_fullerton,Cal St. Fullerton,5-12,2-4,1-2,7-19,1-6,1-3,6-18,2-5,1-2,9-16,1-4,5-6,2-8,1-3,6-6,,,,29-73,7-22,14-19,0,25,3,34,6,0,20,8
2019-11-15_loyola_marymount_cal_st_fullerton,Loyola Marymount,9-17,2-4,3-4,4-13,0-3,8-8,7-14,2-3,1-2,5-15,2-4,0-6,2-7,1-3,1-2,,,,27-66,7-17,13-22,0,14,1,30,6,0,8,15
2019-11-16_uc_davis_santa_clara,Santa Clara,5-14,0-6,5-5,5-16,2-8,1-1,3-15,0-5,0-0,8-15,1-5,11-12,,,,,,,21-60,3-24,17-18,0,9,4,34,8,9,19,18
2019-11-16_uc_davis_santa_clara,UC Davis,7-14,2-6,4-7,6-12,4-6,1-2,2-12,1-8,7-9,4-12,0-2,4-7,,,,,,,19-50,7-22,16-25,0,12,4,22,4,9,9,16
2019-11-16_portland_st_uc_irvine,UC Irvine,7-16,0-2,4-5,7-15,1-4,2-2,10-18,3-5,6-6,7-15,2-4,3-7,,,,,,,31-64,6-15,15-20,0,11,8,40,13,17,19,32
2019-11-16_portland_st_uc_irvine,Portland St.,7-18,2-4,3-3,6-14,2-6,0-0,7-16,2-6,6-10,8-17,4-8,0-0,,,,,,,28-65,10-24,9-13,0,10,8,24,9,17,15,8
2019-11-16_seattle_pacific_uc_san_diego,UC San Diego,8-23,4-13,0-0,3-9,0-4,5-9,8-17,3-9,3-3,8-11,2-4,8-11,,,,,,,27-60,9-30,16-23,0,7,3,28,9,7,18,43
2019-11-16_seattle_pacific_uc_san_diego,Seattle Pacific,7-16,2-6,0-0,5-18,4-7,2-3,5-12,2-5,3-4,7-16,4-9,2-2,,,,,,,24-62,12-27,7-9,0,10,3,12,3,7,9,17
2019-11-16_san_francisco_csun,CSUN,5-19,1-8,2-2,6-17,1-2,1-1,6-16,1-5,1-2,7-26,5-9,1-2,,,,,,,24-78,8-24,5-7,0,14,2,26,0,3,6,3
2019-11-16_san_francisco_csun,San Francisco,9-16,4-6,1-2,7-24,2-6,2-2,9-20,2-6,2-2,6-13,2-4,2-2,,,,,,,31-73,10-22,7-8,0,19,2,34,9,3,9,14
2019-11-17_denver_cal_poly,Cal Poly,5-16,2-5,3-6,6-12,1-2,4-5,4-12,1-4,4-8,7-15,2-4,5-8,,,,,,,22-55,6-15,16-27,0,3,0,18,6,0,19,19
2019-11-17_denver_cal_poly,Denver,11-20,4-7,3-4,6-17,3-10,7-8,8-15,3-6,5-6,6-12,2-4,7-8,,,,,,,31-64,12-27,22-26,1,15,1,32,9,1,22,25
2019-11-17_san_diego_st_cal_st_fullerton,Cal St. Fullerton,5-15,1-5,1-1,4-15,0-3,1-2,3-17,1-4,0-0,7-21,1-8,2-2,,,,,,,19-68,3-20,4-5,0,6,3,18,9,1,6,16
2019-11-17_san_diego_st_cal_st_fullerton,San Diego St.,4-16,1-5,2-2,7-14,3-4,1-4,4-16,1-3,4-4,3-13,1-2,6-8,,,,,,,18-59,6-14,13-18,0,4,2,18,4,1,6,10
2019-11-17_csu_bakersfield_fresno_pacific,Fresno Pacific,4-18,1-6,2-2,5-9,5-7,1-2,3-12,2-10,14-16,4-12,1-5,6-7,,,,,,,16-51,9-28,23-27,0,8,0,12,11,0,8,9
2019-11-17_csu_bakersfield_fresno_pacific,CSU Bakersfield,10-18,2-5,0-0,10-18,3-5,4-4,11-17,2-5,2-2,9-19,2-3,0-1,,,,,,,40-72,9-18,6-7,0,14,0,54,10,0,30,57
2019-11-17_california_uc_riverside,UC Riverside,5-15,0-1,4-4,8-17,2-6,4-4,3-21,1-3,2-4,5-14,1-4,5-6,,,,,,,21-67,4-14,15-18,0,11,5,22,5,8,15,17
2019-11-17_california_uc_riverside,California,8-19,3-5,0-0,5-13,2-6,5-6,7-13,1-3,6-7,8-17,3-7,8-8,,,,,,,28-62,9-21,19-21,0,17,5,36,10,8,17,32
2019-11-18_uc_santa_barbara_southern_california,Southern California,7-15,1-6,1-5,4-9,1-4,1-2,6-12,1-4,0-1,3-18,1-3,0-0,,,,,,,20-54,4-17,2-8,0,6,3,26,0,2,5,7
2019-11-18_uc_santa_barbara_southern_california,UC Santa Barbara,6-15,1-5,3-5,5-14,2-4,6-6,3-17,1-4,4-4,4-9,0-2,4-6,,,,,,,18-55,4-15,17-21,0,10,1,26,2,3,22,9
2019-11-18_long_beach_st_utah_st,Utah St.,4-14,0-3,5-7,3-10,3-6,4-6,8-17,1-6,1-2,3-11,0-2,6-10,,,,,,,18-52,4-17,16-25,1,14,4,20,5,9,14,8
2019-11-18_long_beach_st_utah_st,Long Beach St.,7-14,3-5,0-0,2-11,2-6,5-6,3-12,0-4,2-6,4-15,1-5,3-4,,,,,,,16-52,6-20,10-16,1,11,4,18,5,9,21,19
2019-11-19_saint_marys_ca_uc_davis,UC Davis,3-11,2-5,0-0,8-14,3-5,4-4,8-18,1-6,6-7,7-21,2-8,4-4,,,,,,,26-64,8-24,14-15,0,2,3,32,2,4,23,20
2019-11-19_saint_marys_ca_uc_davis,Saint Mary's (CA),11-15,2-3,0-0,6-14,2-6,0-0,7-12,2-4,5-8,7-11,5-8,5-6,,,,,,,31-52,11-21,10-14,0,12,3,32,5,4,10,30
2019-11-19_uc_irvine_loyola_marymount,Loyola Marymount,4-16,0-3,4-6,5-10,1-3,2-2,8-15,1-3,6-8,2-14,1-3,12-16,,,,,,,19-55,3-12,24-32,0,13,5,32,5,5,13,12
2019-11-19_uc_irvine_loyola_marymount,UC Irvine,6-17,2-5,3-4,7-15,1-4,0-0,8-16,3-6,3-4,6-11,3-6,11-13,,,,,,,27-59,9-21,17-21,0,9,5,22,2,5,25,23
2019-11-19_wright_state_csu_bakersfield,CSU Bakersfield,6-16,1-5,1-4,3-16,0-4,7-8,5-20,2-7,4-4,7-16,1-4,2-6,,,,,,,21-68,4-20,14-22,0,19,1,24,10,1,23,31
2019-11-19_wright_state_csu_bakersfield,Wright State,5-18,3-7,4-7,4-15,0-6,7-11,7-16,2-5,0-3,4-8,1-2,8-14,,,,,,,20-57,6-20,19-35,0,17,0,24,0,2,12,9
2019-11-20_cal_poly_sacramento_st,Sacramento St.,7-18,5-13,2-2,3-16,0-9,2-2,4-16,1-7,1-1,1-12,1-7,1-2,,,,,,,15-62,7-36,6-7,0,14,1,12,3,0,14,10
2019-11-20_cal_poly_sacramento_st,Cal Poly,5-10,0-2,4-5,7-14,2-5,1-2,8-12,2-2,4-8,4-13,1-2,0-0,,,,,,,24-49,5-11,9-15,0,9,2,26,2,1,18,8
2019-11-20_cal_st_fullerton_utah_st,Utah St.,4-15,2-8,4-4,7-14,3-7,1-2,6-18,0-8,2-4,5-18,2-8,4-5,,,,,,,22-65,7-31,11-15,0,14,0,20,0,1,6,9
2019-11-20_cal_st_fullerton_utah_st,Cal St. Fullerton,5-13,1-3,9-9,9-16,3-6,1-2,9-16,0-1,2-2,7-13,3-6,4-6,,,,,,,30-58,7-16,16-19,0,7,1,32,12,1,27,26
2019-11-21_uc_san_diego_cal_st_san_marcos,Cal St. San Marcos,4-10,3-5,3-4,5-15,1-5,4-4,8-13,1-2,2-3,2-7,1-2,16-17,,,,,,,19-45,6-14,25-28,0,12,4,22,0,8,7,13
2019-11-21_uc_san_diego_cal_st_san_marcos,UC San Diego,6-14,0-3,0-0,5-15,0-4,3-3,6-11,1-1,2-2,8-20,2-8,5-8,,,,,,,25-60,3-16,10-13,0,7,4,30,0,8,9,28
2019-11-21_csun_portland,Portland,5-12,1-5,4-5,3-10,0-3,2-3,9-22,3-9,2-4,5-14,2-4,6-8,,,,,,,22-58,6-21,14-20,0,7,1,30,20,0,29,6
2019-11-21_csun_portland,CSUN,9-16,1-2,2-2,11-15,0-2,3-6,5-11,2-3,1-4,5-9,0-1,4-7,,,,,,,30-51,3-8,10-19,0,6,0,48,32,0,21,16
2019-11-21_uc_riverside_utah_valley,Utah Valley,5-16,0-3,1-2,5-17,1-6,4-8,2-14,0-8,8-10,5-13,0-2,5-8,,,,,,,17-60,1-19,18-28,0,9,0,28,9,0,18,15
2019-11-21_uc_riverside_utah_valley,UC Riverside,9-11,3-4,2-2,8-17,1-4,1-3,6-16,3-5,0-4,4-14,2-8,1-2,,,,,,,27-58,9-21,4-11,0,10,0,20,9,0,27,27
2019-11-22_uc_davis_san_francisco,San Francisco,8-19,3-6,1-2,7-15,3-4,0-0,4-11,0-5,2-2,3-14,2-3,12-14,,,,,,,22-59,8-18,15-18,0,9,1,20,10,3,15,12
2019-11-22_uc_davis_san_francisco,UC Davis,9-18,4-8,2-3,9-14,3-6,2-2,5-13,2-5,0-1,7-13,1-3,5-5,,,,,,,30-58,10-22,9-11,0,5,1,40,13,3,21,21
2019-11-22_hawaii_utsa,UTSA,1-11,0-5,0-0,7-17,2-5,3-4,5-16,1-5,4-4,4-15,0-2,6-9,,,,,,,17-59,3-17,13-17,0,18,0,22,7,0,14,31
2019-11-22_hawaii_utsa,Hawaii,5-19,0-5,2-2,6-15,2-7,1-1,5-7,1-3,3-4,8-10,1-3,4-6,,,,,,,24-51,4-18,10-13,1,4,0,38,6,0,9,23
2019-11-23_california_baptist_uc_santa_barbara,UC Santa Barbara,10-19,1-6,2-2,7-18,1-4,1-4,3-12,0-3,8-10,6-17,0-6,1-2,4-9,0-2,0-0,3-7,1-3,0-0,33-82,3-24,12-18,0,10,4,58,4,6,9,14
2019-11-23_california_baptist_uc_santa_barbara,California Baptist,7-16,6-11,2-2,5-15,3-7,0-0,4-17,0-7,3-3,6-12,2-5,6-9,3-8,2-5,0-0,3-6,1-2,4-6,28-74,14-37,15-20,0,3,6,26,22,9,22,16
2019-11-23_long_beach_st_loyola_marymount,Loyola Marymount,4-8,4-6,2-4,2-10,2-7,7-10,8-16,1-4,4-6,7-9,4-4,4-6,,,,,,,21-43,11-21,17-26,0,10,4,20,2,9,8,17
2019-11-23_long_beach_st_loyola_marymount,Long Beach St.,7-14,0-1,5-9,4-14,0-5,2-3,4-14,0-3,4-7,4-13,2-4,6-8,,,,,,,19-55,2-13,17-27,0,3,4,32,8,9,30,3
2019-11-24_hawaii_texas_southern,Texas Southern,8-18,3-11,0-0,4-15,0-2,1-2,10-17,4-7,0-4,7-14,3-8,5-6,,,,,,,29-64,10-28,6-12,0,16,5,36,13,15,21,12
2019-11-24_hawaii_texas_southern,Hawaii,8-13,0-3,1-2,7-14,0-4,1-1,3-11,1-6,0-7,5-10,1-2,7-9,,,,,,,23-48,2-15,9-19,0,8,5,42,9,15,17,12
2019-11-24_cal_st_san_bdino_uc_san_diego,UC San Diego,8-16,7-11,2-2,5-15,4-10,4-4,5-19,2-9,0-0,4-13,2-9,5-6,,,,,,,22-63,15-39,11-12,0,5,0,12,9,2,7,33
2019-11-24_cal_st_san_bdino_uc_san_diego,Cal St. San B'dino,5-12,1-2,6-11,7-17,1-5,0-2,6-13,1-4,4-6,4-18,0-4,2-2,,,,,,,22-60,3-15,12-21,0,4,0,34,12,2,23,19
2019-11-24_arizona_st_cal_poly,Cal Poly,5-11,0-3,0-0,1-7,0-1,6-6,5-11,0-3,4-4,4-11,0-1,1-2,,,,,,,15-40,0-8,11-12,0,6,0,26,4,4,8,10
2019-11-24_arizona_st_cal_poly,Arizona St.,5-16,2-9,3-4,6-15,1-5,1-2,8-18,2-8,5-6,4-15,2-9,4-5,,,,,,,23-64,7-31,13-17,0,16,1,32,14,4,35,21
2019-11-24_washington_st_csun,CSUN,6-16,5-8,0-0,6-16,0-3,4-7,8-17,2-2,1-2,2-10,1-4,4-6,,,,,,,22-59,8-17,9-15,0,15,1,20,3,6,12,8
2019-11-24_washington_st_csun,Washington St.,8-16,4-8,0-0,7-15,1-4,0-0,6-15,2-7,2-3,5-16,1-3,9-10,,,,,,,26-62,8-22,11-13,0,8,6,34,10,7,17,17
2019-11-24_grand_canyon_cal_st_fullerton,Cal St. Fullerton,10-17,2-4,2-2,9-18,3-5,0-0,3-13,1-4,2-4,9-18,1-6,7-10,,,,,,,31-66,7-19,11-16,0,17,1,34,11,2,22,9
2019-11-24_grand_canyon_cal_st_fullerton,Grand Canyon,6-16,2-8,0-0,8-14,1-5,1-1,7-14,3-6,2-4,8-14,2-5,1-2,,,,,,,29-58,8-24,4-7,0,4,1,40,6,2,11,12
2019-11-24_uc_riverside_weber_st,Weber St.,6-16,2-4,2-4,7-19,3-6,3-8,5-16,3-7,3-4,4-13,3-6,1-2,,,,,,,22-64,11-23,9-18,0,18,7,14,3,12,19,12
2019-11-24_uc_riverside_weber_st,UC Riverside,8-21,0-6,3-3,6-16,1-3,0-1,4-13,1-2,5-9,4-14,0-3,0-0,,,,,,,22-64,2-14,8-13,1,11,7,28,2,12,6,13
