game_id,team,q1_fg,q1_3p,q1_ft,q2_fg,q2_3p,q2_ft,q3_fg,q3_3p,q3_ft,q4_fg,q4_3p,q4_ft,ot1_fg,ot1_3p,ot1_ft,ot2_fg,ot2_3p,ot2_ft,total_fg,total_3p,total_ft,technical_fouls,second_chance_pts,scores_tied,pts_in_paint,fast_break_pts,lead_changes,pts_off_turnovers,bench_pts
2019-10-29_hawaii_hawaii_pacific,Hawaii Pacific,5-16,2-9,0-0,6-15,4-10,0-0,6-18,1-4,6-7,7-18,3-6,7-7,,,,,,,24-67,10-29,13-14,0,9,3,18,7,3,15,31
2019-10-29_hawaii_hawaii_pacific,Hawaii,6-14,2-4,3-3,5-13,1-5,2-3,5-8,2-3,14-15,3-8,1-5,13-17,,,,,,,19-43,6-17,32-38,1,4,3,24,7,3,8,10
2019-10-29_csun_masters,Master's,6-16,2-4,0-0,7-14,3-7,4-6,5-14,1-8,1-2,6-15,0-7,6-6,,,,,,,24-59,6-26,11-14,0,15,0,30,12,1,8,12
2019-10-29_csun_masters,CSUN,1-18,0-7,2-2,6-16,2-6,3-4,7-15,1-2,8-12,7-19,3-9,0-0,,,,,,,21-68,6-24,13-18,0,5,0,26,19,0,35,2
2019-11-02_cal_st_fullerton_biola,Biola,4-14,1-6,1-2,4-16,0-4,1-2,7-19,2-9,1-3,5-12,2-4,3-6,,,,,,,20-61,5-23,6-13,0,11,0,28,0,0,4,23
2019-11-02_cal_st_fullerton_biola,Cal St. Fullerton,6-12,0-0,3-6,4-11,3-3,8-10,9-16,3-5,2-6,10-15,4-6,3-6,,,,,,,29-54,10-14,16-28,0,8,0,28,24,0,20,37
2019-11-05_hawaii_san_diego_st,San Diego St.,5-14,0-0,2-4,7-19,2-5,0-2,5-17,1-6,3-4,5-10,1-2,5-8,,,,,,,22-60,4-13,10-18,0,10,12,32,7,15,7,17
2019-11-05_hawaii_san_diego_st,Hawaii,5-18,1-6,2-2,7-16,3-10,0-0,6-18,0-9,0-0,7-14,2-6,3-4,,,,,,,25-66,6-31,5-6,0,15,12,30,2,15,5,15
2019-11-05_uc_irvine_san_jose_st,San Jose St.,8-20,3-7,0-0,7-15,2-3,3-4,8-16,2-4,4-4,6-17,0-4,5-5,,,,,,,29-68,7-18,12-13,0,12,4,30,8,15,10,5
2019-11-05_uc_irvine_san_jose_st,UC Irvine,7-15,2-6,1-4,10-15,2-5,3-6,6-19,0-4,5-8,9-18,1-3,1-4,,,,,,,32-67,5-18,10-22,0,6,4,40,11,15,24,26
2019-11-05_uc_santa_barbara_utah_valley,Utah Valley,5-16,1-5,1-3,5-14,1-6,0-0,8-20,1-6,2-3,4-14,0-3,1-5,,,,,,,22-64,3-20,4-11,0,15,0,26,2,0,15,8
2019-11-05_uc_santa_barbara_utah_valley,UC Santa Barbara,7-13,1-4,6-8,6-19,1-6,3-4,3-12,2-3,0-0,3-10,2-4,6-8,,,,,,,19-54,6-17,15-20,0,9,0,22,4,0,13,5
2019-11-05_california_baptist_long_beach_st,Long Beach St.,5-17,1-3,3-4,7-16,0-3,2-4,8-16,0-4,5-6,7-18,2-8,3-6,,,,,,,27-67,3-18,13-20,0,18,4,38,13,21,13,25
2019-11-05_california_baptist_long_beach_st,California Baptist,8-16,3-10,1-2,3-14,1-7,4-4,7-17,3-5,2-2,8-18,2-6,11-13,,,,,,,26-65,9-28,18-21,0,8,4,32,17,21,18,19
2019-11-05_csun_southern_california,Southern California,4-10,2-6,11-12,5-15,2-7,0-0,9-13,2-3,5-5,5-14,0-3,1-1,,,,,,,23-52,6-19,17-18,0,4,0,30,21,1,5,19
2019-11-05_csun_southern_california,CSUN,3-20,0-8,0-0,7-20,3-10,0-0,4-21,2-12,3-4,5-17,4-10,3-4,,,,,,,19-78,9-40,6-8,0,11,0,16,10,1,23,15
2019-11-05_csu_bakersfield_cal_st_dom_hills,Cal St. Dom. Hills,7-14,3-4,6-6,6-11,1-4,4-5,3-13,2-5,9-12,3-16,1-7,10-14,,,,,,,19-54,7-20,29-37,0,9,5,22,9,9,12,32
2019-11-05_csu_bakersfield_cal_st_dom_hills,CSU Bakersfield,10-18,2-5,0-0,8-22,1-5,2-2,8-24,1-6,4-7,8-19,1-3,4-6,,,,,,,34-83,5-19,10-15,0,6,5,54,30,9,29,31
2019-11-05_new_mexico_uc_riverside,UC Riverside,6-15,2-2,3-4,7-14,0-0,2-2,8-19,2-3,2-2,7-12,2-5,1-2,,,,,,,28-60,6-10,8-10,0,6,10,34,8,17,16,18
2019-11-05_new_mexico_uc_riverside,New Mexico,3-19,1-9,1-2,8-19,3-5,6-10,10-22,3-9,1-1,9-19,3-5,2-2,,,,,,,30-79,10-28,10-15,1,15,10,36,18,17,17,39
2019-11-06_cal_poly_fresno_st,Fresno St.,6-16,3-9,0-0,6-20,0-8,1-3,7-19,3-7,3-7,11-16,1-3,8-9,,,,,,,30-71,7-27,12-19,0,13,4,34,13,2,34,20
2019-11-06_cal_poly_fresno_st,Cal Poly,5-12,0-3,5-7,7-13,0-2,1-3,4-9,1-4,2-2,2-12,1-7,6-11,,,,,,,18-46,2-16,14-23,0,10,3,22,2,1,12,18
